Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
1,Star Wars Ep. VII: The Force Awakens,12/18/2015 0:00:00,Walt Disney,Adventure,PG-13,742208942,88043765
2,Jurassic World,6/12/2015 0:00:00,Universal,Action,PG-13,652198010,77366311
3,The Avengers: Age of Ultron,5/1/2015 0:00:00,Walt Disney,Action,PG-13,459005868,54449094
4,Inside Out,6/19/2015 0:00:00,Walt Disney,Adventure,PG,356461711,42284900
5,Furious 7,4/3/2015 0:00:00,Universal,Action,PG-13,351032910,41640914
6,American Sniper,12/25/2014 0:00:00,Warner Bros.,Drama,R,347897084,41268930
7,Minions,7/10/2015 0:00:00,Universal,Comedy,PG,336045770,39863080
8,The Hunger Games: Mockingjay - Part 2,11/20/2015 0:00:00,Lionsgate,Thriller/Suspense,PG-13,274185395,32524957
9,The Martian,10/2/2015 0:00:00,20th Century Fox,Thriller/Suspense,PG-13,225910757,26798429
10,Cinderella,3/13/2015 0:00:00,Walt Disney,Drama,PG,201151353,23861370
11,Spectre,11/6/2015 0:00:00,Sony Pictures,Action,PG-13,197833291,23467768
12,Mission: Impossible - Rogue Nation,7/31/2015 0:00:00,Paramount Pictures,Action,PG-13,195042377,23136699
13,Pitch Perfect 2,5/15/2015 0:00:00,Universal,Comedy,PG-13,183785415,21801354
14,Ant-Man,7/17/2015 0:00:00,Walt Disney,Action,PG-13,180202163,21376294
15,Home,3/27/2015 0:00:00,20th Century Fox,Adventure,PG,177397510,21043595
16,Hotel Transylvania 2,9/25/2015 0:00:00,Sony Pictures,Comedy,PG,168774344,20020681
17,Fifty Shades of Grey,2/13/2015 0:00:00,Universal,Drama,R,166167230,19711415
18,The SpongeBob Movie: Sponge Out of Water,2/6/2015 0:00:00,Paramount Pictures,Comedy,PG,162994032,19334997
19,Straight Outta Compton,8/14/2015 0:00:00,Universal,Drama,R,161058685,19105419
20,San Andreas,5/29/2015 0:00:00,Warner Bros.,Adventure,PG-13,155190832,18409351
21,Mad Max: Fury Road,5/15/2015 0:00:00,Warner Bros.,Action,R,153636354,18224953
22,The Rocky Horror Picture Show,9/26/1975 0:00:00,20th Century Fox,Musical,R,140219772,16633424
23,The Divergent Serires: Insurgent,3/20/2015 0:00:00,Lionsgate,Action,PG-13,130179072,15442357
24,The Peanuts Movie,11/6/2015 0:00:00,20th Century Fox,Comedy,G,128763058,15274384
25,Kingsman: The Secret Service,2/13/2015 0:00:00,20th Century Fox,Action,R,128261724,15214913
26,The Good Dinosaur,11/25/2015 0:00:00,Walt Disney,Adventure,PG,114766932,13614108
27,Spy!,6/5/2015 0:00:00,20th Century Fox,Comedy,R,110825712,13146585
28,Trainwreck,7/17/2015 0:00:00,Universal,Comedy,R,110038130,13053158
29,Creed,11/25/2015 0:00:00,Warner Bros.,Drama,PG-13,103122271,12232772
30,Daddy’s Home,12/25/2015 0:00:00,Paramount Pictures,Comedy,PG-13,93889861,11137587
31,Tomorrowland,5/22/2015 0:00:00,Walt Disney,Adventure,PG,93436322,11083786
32,Get Hard,3/27/2015 0:00:00,Warner Bros.,Comedy,R,90411453,10724964
33,Terminator: Genisys,7/1/2015 0:00:00,Paramount Pictures,Action,PG-13,89760956,10647800
34,Taken 3,1/9/2015 0:00:00,20th Century Fox,Action,PG-13,89256424,10587950
35,Maze Runner: The Scorch Trials,9/18/2015 0:00:00,20th Century Fox,Thriller/Suspense,PG-13,81660593,9686903
36,Ted 2,6/26/2015 0:00:00,Universal,Comedy,R,81284830,9642328
37,Goosebumps,10/16/2015 0:00:00,Sony Pictures,Horror,PG,79370088,9415194
38,Pixels,7/24/2015 0:00:00,Sony Pictures,Comedy,PG-13,78747585,9341350
39,Paddington,1/16/2015 0:00:00,Weinstein Co.,Adventure,PG,76223578,9041942
40,The Intern,9/25/2015 0:00:00,Warner Bros.,Comedy,PG-13,75711361,8981181
