Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
41,Paul Blart: Mall Cop 2,4/17/2015 0:00:00,Sony Pictures,Comedy,PG,71038190,8426831
42,Bridge of Spies,10/16/2015 0:00:00,Walt Disney,Thriller/Suspense,PG-13,70610153,8376056
43,War Room,8/28/2015 0:00:00,Sony Pictures,Drama,PG,67790117,8041532
44,Alvin and the Chipmunks: The Road Chip,12/18/2015 0:00:00,20th Century Fox,Adventure,PG,67646950,8024549
45,Magic Mike XXL,7/1/2015 0:00:00,Warner Bros.,Comedy,R,66013057,7830730
46,The Visit,9/11/2015 0:00:00,Universal,Thriller/Suspense,PG-13,65112020,7723845
47,The Wedding Ringer,1/16/2015 0:00:00,Sony Pictures,Comedy,R,64460211,7646525
48,Black Mass,9/18/2015 0:00:00,Warner Bros.,Drama,R,62575678,7422974
49,Sisters,12/18/2015 0:00:00,Universal,Comedy,R,61884110,7340938
50,The Imitation Game,11/28/2014 0:00:00,Weinstein Co.,Drama,PG-13,60653053,7194905
51,Vacation,7/29/2015 0:00:00,Warner Bros.,Comedy,R,58884188,6985075
52,The Perfect Guy,9/11/2015 0:00:00,Sony Pictures,Thriller/Suspense,PG-13,57017904,6763689
53,Fantastic Four,8/7/2015 0:00:00,20th Century Fox,Action,PG-13,56117548,6656885
54,Focus,2/27/2015 0:00:00,Warner Bros.,Romantic Comedy,PG-13,53862963,6389438
55,Southpaw,7/24/2015 0:00:00,Weinstein Co.,Drama,R,52421953,6218499
56,Insidious Chapter 3,6/5/2015 0:00:00,Focus Features,Horror,PG-13,52218558,6194372
57,Selma,12/25/2014 0:00:00,Paramount Pictures,Drama,PG-13,50008455,5932201
58,Jupiter Ascending,2/6/2015 0:00:00,Warner Bros.,Action,PG-13,47482519,5632564
59,Poltergeist,5/22/2015 0:00:00,20th Century Fox,Horror,PG-13,47425125,5625756
60,Sicario,9/18/2015 0:00:00,Lionsgate,Thriller/Suspense,R,46823967,5554444
61,The Man From U.N.C.L.E.,8/14/2015 0:00:00,Warner Bros.,Action,PG-13,45445109,5390878
62,"McFarland, USA",2/20/2015 0:00:00,Walt Disney,Drama,PG,44480275,5276426
63,The Gift,8/7/2015 0:00:00,STX Entertainment,Thriller/Suspense,R,43787265,5194218
64,Everest,9/18/2015 0:00:00,Universal,Thriller/Suspense,PG-13,43309450,5137538
65,The Night Before,11/20/2015 0:00:00,Sony Pictures,Comedy,R,42977255,5098132
66,Max,6/26/2015 0:00:00,Warner Bros.,Adventure,PG,42656255,5060053
67,The Age of Adaline,4/24/2015 0:00:00,Lionsgate,Drama,PG-13,42629776,5056912
68,Krampus,12/4/2015 0:00:00,Universal,Black Comedy,PG-13,42277730,5015151
69,Joy,12/25/2015 0:00:00,20th Century Fox,Drama,PG-13,38521065,4569521
70,The Longest Ride,4/10/2015 0:00:00,20th Century Fox,Drama,PG-13,37446117,4442006
71,Into the Woods,12/25/2014 0:00:00,Walt Disney,Musical,PG,37130717,4404592
72,The Boy Next Door,1/23/2015 0:00:00,Universal,Thriller/Suspense,R,35423380,4202061
73,Pan,10/9/2015 0:00:00,Warner Bros.,Adventure,PG,35081641,4161523
74,Hot Pursuit,5/8/2015 0:00:00,Warner Bros.,Comedy,PG-13,34580201,4102040
75,The Hobbit: The Battle of the Five Armies,12/17/2014 0:00:00,Warner Bros.,Adventure,PG-13,34517771,4094634
76,The DUFF,2/20/2015 0:00:00,CBS Films,Comedy,PG-13,34030343,4036814
77,Woman in Gold,4/1/2015 0:00:00,Weinstein Co.,Drama,PG-13,33307793,3951102
78,The Second Best Exotic Marigold Hotel,3/6/2015 0:00:00,Fox Searchlight,Comedy,PG,33078266,3923874
79,The Big Short,12/11/2015 0:00:00,Paramount Pictures,Drama,R,33055481,3921172
80,Unfriended,4/17/2015 0:00:00,Universal,Horror,R,32482090,3853154
81,Entourage,6/3/2015 0:00:00,Warner Bros.,Comedy,R,32363404,3839075
82,Paper Towns,7/24/2015 0:00:00,20th Century Fox,Drama,PG-13,32000304,3796002
83,Chappie,3/6/2015 0:00:00,Sony Pictures,Action,R,31569268,3744871
84,Crimson Peak,10/16/2015 0:00:00,Universal,Horror,R,31090320,3688056
85,A Walk in the Woods,9/2/2015 0:00:00,Broad Green Pictures,Adventure,R,29499394,3499334
86,The Hateful Eight,12/25/2015 0:00:00,Weinstein Co.,Western,R,29045855,3445534
87,Unbroken,12/25/2014 0:00:00,Universal,Drama,PG-13,27986400,3319857
88,Sinister 2,8/21/2015 0:00:00,Focus Features,Horror,R,27740955,3290741
89,The Last Witch Hunter,10/23/2015 0:00:00,Lionsgate,Action,PG-13,27367660,3246460
90,No Escape,8/26/2015 0:00:00,Weinstein Co.,Thriller/Suspense,R,27288872,3237114
91,Spotlight,11/6/2015 0:00:00,Open Road,Drama,R,27108972,3215773
92,Ricki and the Flash,8/7/2015 0:00:00,Sony Pictures,Drama,PG-13,26822144,3181748
93,The Woman in Black 2: Angel of Death,1/2/2015 0:00:00,Relativity,Horror,PG-13,26501323,3143691
94,Run All Night,3/13/2015 0:00:00,Warner Bros.,Action,R,26461644,3138985
95,Love the Coopers,11/13/2015 0:00:00,CBS Films,Comedy,PG-13,26193757,3107207
96,The Lazarus Effect,2/27/2015 0:00:00,Lionsgate,Horror,PG-13,25801570,3060684
97,Ex Machina,4/10/2015 0:00:00,A24,Thriller/Suspense,R,25440971,3017908
98,Concussion,12/25/2015 0:00:00,Sony Pictures,Drama,PG-13,25266650,2997230
99,Night at the Museum: Secret of the Tomb,12/19/2014 0:00:00,20th Century Fox,Adventure,PG,23899442,2835046
100,In the Heart of the Sea,12/11/2015 0:00:00,Warner Bros.,Adventure,PG-13,23750170,2817339
101,The Gallows,7/10/2015 0:00:00,Warner Bros.,Horror,R,22764410,2700404
102,Hitman: Agent 47,8/21/2015 0:00:00,20th Century Fox,Action,R,22467450,2665177
103,Point Break,12/25/2015 0:00:00,Warner Bros.,Action,PG-13,22402176,2657434
104,Project Almanac,1/30/2015 0:00:00,Paramount Pictures,Adventure,PG-13,22348241,2651036
105,Black or White,1/30/2015 0:00:00,Relativity,Drama,PG-13,21571189,2558859
106,Aloha,5/29/2015 0:00:00,Sony Pictures,Drama,PG-13,21052030,2497275
107,Brooklyn,11/4/2015 0:00:00,Fox Searchlight,Drama,PG-13,20812853,2468903
108,Secret in Their Eyes,11/20/2015 0:00:00,STX Entertainment,Thriller/Suspense,PG-13,20119034,2386599
109,Shaun the Sheep,8/5/2015 0:00:00,Lionsgate,Adventure,PG,19375982,2298455
110,Still Alice,1/16/2015 0:00:00,Sony Pictures Classics,Drama,PG-13,18656400,2213096
111,Paranormal Activity: The Ghost Dimension,10/23/2015 0:00:00,Paramount Pictures,Horror,R,18297124,2170477
112,Steve Jobs,10/9/2015 0:00:00,Universal,Drama,R,17766658,2107551
113,Mr. Holmes,7/17/2015 0:00:00,Miramax/Roadside Attractions,Drama,PG,17737646,2104109
114,Dope,6/19/2015 0:00:00,Open Road,Comedy,R,17506470,2076686
115,Seventh Son,2/6/2015 0:00:00,Universal,Adventure,PG-13,17223265,2043091
116,Birdman or (The Unexpected Virtue of Ignorance),10/17/2014 0:00:00,Fox Searchlight,Black Comedy,R,16916030,2006646
117,Monkey Kingdom,4/17/2015 0:00:00,Walt Disney,Documentary,G,16432322,1949267
118,The Transporter Refueled,9/4/2015 0:00:00,EuropaCorp,Action,PG-13,16029670,1901502
119,It Follows,3/13/2015 0:00:00,RADiUS-TWC,Horror,R,14674077,1740697
120,American Ultra,8/21/2015 0:00:00,Lionsgate,Black Comedy,R,14439985,1712928
121,Woodlawn,10/16/2015 0:00:00,Pure Flix Entertainment,Drama,PG,14380599,1705883
122,Burnt,10/30/2015 0:00:00,Weinstein Co.,Comedy,R,13596955,1612924
123,Annie,12/19/2014 0:00:00,Sony Pictures,Musical,PG,13450892,1595598
124,The Hunger Games: Mockingjay - Part 1,11/21/2014 0:00:00,Lionsgate,Thriller/Suspense,PG-13,13401383,1589725
125,Do You Believe?,3/20/2015 0:00:00,Pure Flix Entertainment,Drama,PG-13,12985600,1540403
126,Love & Mercy,6/5/2015 0:00:00,Roadside Attractions,Drama,PG-13,12551031,1488853
127,Strange Magic,1/23/2015 0:00:00,Walt Disney,Adventure,PG,12429583,1474446
128,Hot Tub Time Machine 2,2/20/2015 0:00:00,Paramount Pictures,Comedy,R,12314651,1460812
129,Self/Less,7/10/2015 0:00:00,Focus Features,Thriller/Suspense,PG-13,12279691,1456665
130,Far from the Madding Crowd,5/1/2015 0:00:00,Fox Searchlight,Drama,PG-13,12236500,1451542
131,Back to the Future,7/3/1985 0:00:00,Universal,Adventure,PG,12127168,1438572
132,The 33,11/13/2015 0:00:00,Warner Bros.,Drama,PG-13,12122453,1438013
133,Wild,12/3/2014 0:00:00,Fox Searchlight,Drama,R,11999452,1423422
134,Big Hero 6,11/7/2014 0:00:00,Walt Disney,Adventure,PG,11320792,1342917
135,The Theory of Everything,11/7/2014 0:00:00,Focus Features,Drama,PG-13,11121187,1319239
136,The Gunman,3/20/2015 0:00:00,Open Road,Thriller/Suspense,R,10664749,1265094
137,Unfinished Business,3/6/2015 0:00:00,20th Century Fox,Comedy,R,10219501,1212277
138,The Walk,10/9/2015 0:00:00,Sony Pictures,Drama,PG,10137502,1202550
139,Un gallo con muchos huevos,9/4/2015 0:00:00,Lionsgate,Adventure,PG-13,9080818,1077202
140,Amy,7/3/2015 0:00:00,A24,Documentary,R,8409616,997581
141,Bajrangi Bhaijaan,7/17/2015 0:00:00,Eros Entertainment,Action,Not Rated,8178001,970106
142,"Dragon Ball Z: Resurrection ""F""",8/4/2015 0:00:00,FUNimation,Action,Not Rated,8008363,949983
143,Blackhat,1/16/2015 0:00:00,Universal,Thriller/Suspense,R,7889395,935871
144,Mortdecai,1/23/2015 0:00:00,Lionsgate,Comedy,R,7696134,912945
145,While We're Young,3/27/2015 0:00:00,A24,Comedy,R,7582065,899414
146,I'll See You in My Dreams,5/15/2015 0:00:00,Bleecker Street,Romantic Comedy,PG-13,7449681,883710
147,The Green Inferno,9/25/2015 0:00:00,High Top Releasing,Horror,R,7192291,853178
148,Whiplash,10/10/2014 0:00:00,Sony Pictures Classics,Drama,R,7190389,852952
149,Trumbo,11/6/2015 0:00:00,Bleecker Street,Drama,R,7015228,832174
150,Our Brand is Crisis,10/30/2015 0:00:00,Warner Bros.,Drama,R,7002261,830635
151,Grandma,8/21/2015 0:00:00,Sony Pictures Classics,Comedy,R,6928220,821852
152,Me and Earl and the Dying Girl,6/12/2015 0:00:00,Fox Searchlight,Drama,PG-13,6758416,801710
153,Baahubali: The Beginning,7/10/2015 0:00:00,Bluesky Cinemas,Action,Not Rated,6738000,799288
154,Inherent Vice,12/12/2014 0:00:00,Warner Bros.,Drama,R,6647997,788611
155,Little Boy,4/24/2015 0:00:00,Open Road,Drama,PG-13,6485961,769390
156,The Gambler,12/10/2014 0:00:00,Paramount Pictures,Drama,R,6074726,720608
157,The Danish Girl,11/27/2015 0:00:00,Focus Features,Drama,R,6050349,717716
158,The Loft,1/30/2015 0:00:00,Open Road,Thriller/Suspense,R,6002684,712062
159,Bajirao Mastani,12/18/2015 0:00:00,Eros Entertainment,Drama,Not Rated,5848971,693828
160,Victor Frankenstein,11/25/2015 0:00:00,20th Century Fox,Thriller/Suspense,PG-13,5775076,685062
161,Danny Collins,3/20/2015 0:00:00,Bleecker Street,Comedy,R,5637066,668691
162,A Most Violent Year,12/31/2014 0:00:00,A24,Drama,R,5463088,648053
163,Penguins of Madagascar,11/26/2014 0:00:00,20th Century Fox,Comedy,PG,5234131,620893
164,Interstellar,11/7/2014 0:00:00,Paramount Pictures,Adventure,PG-13,5215800,618718
165,Carol,11/20/2015 0:00:00,Weinstein Co.,Drama,R,4982475,591040
166,Room,10/16/2015 0:00:00,A24,Drama,R,4976972,590388
167,90 Minutes in Heaven,9/11/2015 0:00:00,Samuel Goldwyn Films,Drama,PG-13,4816142,571309
168,True Story,4/17/2015 0:00:00,Fox Searchlight,Drama,R,4719695,559868
169,Dilwale,12/18/2015 0:00:00,UTV Communications,Romantic Comedy,Not Rated,4704632,558082
170,Suffragette,10/23/2015 0:00:00,Focus Features,Drama,PG-13,4668603,553808
171,Big Eyes,12/25/2014 0:00:00,Weinstein Co.,Drama,PG-13,4558006,540688
172,Prem Ratan Dhan Payo,11/12/2015 0:00:00,Fox International,Drama,Not Rated,4364639,517750
173,The Water Diviner,4/24/2015 0:00:00,Warner Bros.,Drama,R,4200117,498234
174,Foxcatcher,11/14/2014 0:00:00,Sony Pictures Classics,Drama,R,4153511,492705
175,Hubble 3D,3/19/2010 0:00:00,Warner Bros.,Documentary,G,4088852,485035
176,Irrational Man,7/17/2015 0:00:00,Sony Pictures Classics,Comedy,R,4030360,478097
177,Scout's Guide to the Zombie Apocalypse,10/30/2015 0:00:00,Paramount Pictures,Comedy,R,3703046,439269
178,Exodus: Gods and Kings,12/12/2014 0:00:00,20th Century Fox,Drama,PG-13,3671578,435537
179,A La Mala,2/27/2015 0:00:00,Lionsgate,Romantic Comedy,PG-13,3629842,430586
180,Spare Parts,1/16/2015 0:00:00,Lionsgate,Drama,PG-13,3618912,429289
181,We Are Your Friends,8/28/2015 0:00:00,Warner Bros.,Drama,R,3591417,426028
182,Mommy,1/23/2015 0:00:00,Roadside Attractions,Drama,R,3498695,415029
183,What We Do in the Shadows,2/13/2015 0:00:00,Unison/Paladin,Comedy,R,3469224,411533
184,Learning to Drive,8/21/2015 0:00:00,Broad Green Pictures,Drama,R,3447633,408971
185,Space Station,4/19/2002 0:00:00,IMAX Films,Documentary,Not Rated,3201391,379761
186,Phoenix,7/24/2015 0:00:00,IFC Films,Drama,PG-13,3166858,375665
187,Wild Tales,2/20/2015 0:00:00,Sony Pictures Classics,Comedy,R,3107072,368573
188,Dil Dhadakne Do,6/5/2015 0:00:00,Eros Entertainment,Drama,Not Rated,3066100,363712
189,Ladrones,10/9/2015 0:00:00,Lionsgate,Comedy,PG-13,3063505,363405
190,Tanu Weds Manu Returns,5/22/2015 0:00:00,Eros Entertainment,Comedy,Not Rated,3043479,361029
191,Rock the Kasbah,10/23/2015 0:00:00,Open Road,Comedy,R,3020665,358323
192,The End of the Tour,7/31/2015 0:00:00,A24,Drama,R,3002883,356213
193,Mr. Turner,12/19/2014 0:00:00,Sony Pictures Classics,Drama,R,2995728,355365
194,He Named Me Malala,10/2/2015 0:00:00,Fox Searchlight,Documentary,PG-13,2668936,316599
195,Chi-raq,12/4/2015 0:00:00,Amazon Studios/Roadside Attractions,Drama,R,2601330,308580
196,Captive,9/18/2015 0:00:00,Paramount Pictures,Drama,PG-13,2583301,306441
197,Truth,10/16/2015 0:00:00,Sony Pictures Classics,Thriller/Suspense,R,2517245,298605
198,Mistress America,8/14/2015 0:00:00,Fox Searchlight,Comedy,R,2500431,296611
199,Pawn Sacrifice,9/16/2015 0:00:00,Beeker Street,Drama,PG-13,2436308,289004
200,2015 Oscar Shorts,1/30/2015 0:00:00,ShortsHD,Multiple Genres,Not Rated,2412493,286179
201,Meru,8/14/2015 0:00:00,,Documentary,R,2334228,276895
202,My All-American,11/13/2015 0:00:00,Clarius Entertainment,Drama,PG,2246000,266429
203,Ode to My Father,12/25/2014 0:00:00,CJ Entertainment,Drama,Not Rated,2209071,262048
204,Jem and the Holograms,10/23/2015 0:00:00,Universal,Musical,PG,2184640,259150
205,Roar,1/1/1981 0:00:00,,Adventure,PG,2110050,250302
206,Tamasha,11/25/2015 0:00:00,UTV Communications,Comedy,Not Rated,2065487,245016
207,Island of Lemurs: Madagascar,4/4/2014 0:00:00,Warner Bros.,Documentary,G,1989670,236022
208,Cake,1/23/2015 0:00:00,Cinelou Releasing,Drama,R,1951776,231527
209,Old Fashioned,2/6/2015 0:00:00,Freestyle Releasing,Drama,PG-13,1914090,227056
210,Assassination,8/7/2015 0:00:00,Well Go USA,Thriller/Suspense,Not Rated,1904682,225940
211,Game of Thrones: The IMAX Experience,1/29/2015 0:00:00,Warner Bros.,Drama,R,1896092,224921
212,Legend,11/20/2015 0:00:00,Universal,Thriller/Suspense,R,1865774,221325
213,Journey to the South Pacific,11/27/2013 0:00:00,MacGillivray Freeman Films,Documentary,G,1852230,219718
214,Clouds of Sils Maria,4/10/2015 0:00:00,IFC Films,Drama,R,1841555,218452
215,Testament of Youth,6/5/2015 0:00:00,Sony Pictures Classics,Drama,PG-13,1822250,216162
216,Piku,5/8/2015 0:00:00,Yash Raj Films,Drama,Not Rated,1801806,213737
217,The Vatican Tapes,7/24/2015 0:00:00,Lionsgate,Horror,PG-13,1784763,211715
218,Jerusalem,9/13/2013 0:00:00,National Geographic Entertainment,Documentary,Not Rated,1715647,203516
219,Meet the Patels,9/11/2015 0:00:00,Alchemy,Documentary,PG,1700680,201741
220,Youth,12/4/2015 0:00:00,Fox Searchlight,Drama,R,1650314,195766
221,The Letters,12/4/2015 0:00:00,Freestyle Releasing,Drama,PG,1632464,193649
222,Top Five,12/12/2014 0:00:00,Paramount Pictures,Comedy,R,1577054,187076
223,The Diary of a Teenage Girl,8/7/2015 0:00:00,Sony Pictures Classics,Drama,R,1477002,175207
224,Infinitely Polar Bear,6/19/2015 0:00:00,Sony Pictures Classics,Comedy,R,1430655,169709
225,99 Homes,9/25/2015 0:00:00,Broad Green Pictures,Drama,R,1411927,167488
226,Welcome Back,9/4/2015 0:00:00,Eros Entertainment,Comedy,Not Rated,1388365,164693
227,Horrible Bosses 2,11/26/2014 0:00:00,Warner Bros.,Comedy,R,1381888,163925
228,The Cokeville Miracle,6/5/2015 0:00:00,Excel Entertainment,Drama,PG-13,1348630,159979
229,The Salt of the Earth,3/27/2015 0:00:00,Sony Pictures Classics,Documentary,PG-13,1343349,159353
230,The Revenant,12/25/2015 0:00:00,20th Century Fox,Adventure,R,1320348,156624
231,"Two Days, One Night",12/24/2014 0:00:00,Sundance Selects,Drama,PG-13,1312980,155750
232,Iris,4/29/2015 0:00:00,Magnolia Pictures,Documentary,PG-13,1310678,155477
233,Lost in Hong Kong,9/25/2015 0:00:00,Well Go USA,Comedy,Not Rated,1302281,154481
234,The Wolfpack,6/12/2015 0:00:00,Magnolia Pictures,Documentary,R,1301696,154412
235,Goodbye Mr. Loser,10/9/2015 0:00:00,China Lion Film Distribution,Comedy,Not Rated,1289195,152929
236,’71,2/27/2015 0:00:00,Roadside Attractions,Thriller/Suspense,R,1270847,150752
237,Beyond the Mask,4/6/2015 0:00:00,Gathr Films,Action,PG,1236094,146630
238,Child 44,4/17/2015 0:00:00,Lionsgate,Thriller/Suspense,R,1224330,145234
239,Goodnight Mommy,9/11/2015 0:00:00,RADiUS-TWC,Horror,R,1178196,139762
240,Black Sea,1/23/2015 0:00:00,Focus Features,Thriller/Suspense,R,1171559,138974
241,Miss You Already,11/6/2015 0:00:00,Roadside Attractions,Comedy,PG-13,1162653,137918
242,Where Hope Grows,5/15/2015 0:00:00,Roadside Attractions,Drama,PG-13,1156000,137129
243,Veteran,8/14/2015 0:00:00,CJ Entertainment,Action,Not Rated,1155652,137088
244,The Met: Live in HD - Tannhauser,10/31/2015 0:00:00,,Concert/Performance,Not Rated,1150000,136417
245,The Interview,12/25/2014 0:00:00,Sony Pictures,Comedy,R,1144449,135759
246,Mojin: The Lost Legend,12/18/2015 0:00:00,China Lion Film Distribution,Adventure,Not Rated,1121896,133083
247,The Overnight,6/19/2015 0:00:00,The Orchard,Comedy,R,1109808,131649
248,Boyhood,7/11/2014 0:00:00,IFC Films,Drama,R,1080207,128138
249,Timbuktu,1/28/2015 0:00:00,Cohen Media Group,Drama,PG-13,1076075,127648
250,Mr. Six,12/24/2015 0:00:00,China Lion Film Distribution,Action,Not Rated,1070706,127011
251,Gone Girl,10/3/2014 0:00:00,20th Century Fox,Thriller/Suspense,R,1040380,123413
252,Dior and I,4/10/2015 0:00:00,The Orchard,Documentary,R,1028953,122058
253,5 Flights Up,5/8/2015 0:00:00,Focus Features,Drama,PG-13,1020921,121105
254,Big Stone Gap,10/9/2015 0:00:00,Picturehouse,Romantic Comedy,PG-13,1009984,119808
255,Faith of Our Fathers,7/1/2015 0:00:00,Pure Flix / Samuel Goldwyn Films,Drama,PG-13,1004105,119110
256,Gett: The Trial of Viviane Amsalem,2/13/2015 0:00:00,Music Box Films,Drama,Not Rated,988150,117218
257,Leviathan,12/25/2014 0:00:00,Sony Pictures Classics,Drama,R,952439,112982
258,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10/10/2014 0:00:00,Walt Disney,Comedy,PG,921486,109310
259,Singh IsBliing,10/2/2015 0:00:00,Eros Entertainment,Action,Not Rated,919095,109026
260,Macbeth,12/4/2015 0:00:00,Weinstein Co.,Drama,R,906513,107534
261,Best of Enemies,7/31/2015 0:00:00,Magnolia Pictures,Documentary,R,892802,105907
262,ABCD 2,6/19/2015 0:00:00,UTV Communications,Drama,Not Rated,892133,105828
263,The 100-Year-Old Man Who Climbed Out Of The Window and Disappeared,5/8/2015 0:00:00,Music Box Films,Comedy,R,844463,100173
264,Dumb and Dumber To,11/14/2014 0:00:00,Universal,Comedy,PG-13,815430,96729
265,Sleeping with Other People,9/11/2015 0:00:00,IFC Films,Romantic Comedy,R,814775,96651
266,The Wrecking Crew,3/13/2015 0:00:00,Magnolia Pictures,Documentary,PG,801606,95089
267,Song of the Sea,12/19/2014 0:00:00,GKIDS,Adventure,PG,791679,93912
268,When Marnie Was There,5/22/2015 0:00:00,GKIDS,Drama,PG,765127,90762
269,Labyrinth of Lies,9/30/2015 0:00:00,Sony Pictures Classics,Drama,R,763736,90597
270,Once I Was a Beehive,8/14/2015 0:00:00,Purdie Distribution,Drama,PG,731549,86779
271,Seymour: An Introduction,3/13/2015 0:00:00,IFC Films,Documentary,PG,729744,86565
272,P.K.,12/19/2014 0:00:00,UTV Communications,Comedy,Not Rated,719981,85406
273,Cartel Land,7/3/2015 0:00:00,The Orchard,Documentary,R,704352,83553
274,Tangerine,7/10/2015 0:00:00,Magnolia Pictures,Comedy,R,702354,83316
275,Red Army,1/23/2015 0:00:00,Sony Pictures Classics,Documentary,PG,694647,82401
276,The D Train,5/8/2015 0:00:00,IFC Films,Comedy,R,669688,79441
277,St. Vincent,10/24/2014 0:00:00,Weinstein Co.,Comedy,PG-13,659466,78228
278,Brothers: Blood Against Blood,8/14/2015 0:00:00,Fox International,Action,Not Rated,656688,77898
279,The Stanford Prison Experiment,7/17/2015 0:00:00,IFC Films,Drama,R,649690,77068
280,The Assassin,10/16/2015 0:00:00,Well Go USA,Drama,Not Rated,632542,75034
281,Welcome to Me,5/1/2015 0:00:00,Alchemy,Comedy,R,625727,74226
282,"Kumiko, The Treasure Hunter",3/18/2015 0:00:00,Amplify,Drama,Not Rated,623383,73948
283,The Book of Life,10/17/2014 0:00:00,20th Century Fox,Adventure,PG,587412,69681
284,Born to be Wild 3D,4/8/2011 0:00:00,Warner Bros.,Documentary,G,587060,69639
285,Jimmy's Hall,7/3/2015 0:00:00,Sony Pictures Classics,Drama,PG-13,560341,66469
286,A Little Chaos,6/26/2015 0:00:00,Focus Features,Drama,R,558173,66212
287,Freeheld,10/2/2015 0:00:00,Lionsgate,Drama,PG-13,546201,64792
288,By the Sea,11/13/2015 0:00:00,Universal,Drama,R,538460,63874
289,CitizenFour,10/24/2014 0:00:00,RADiUS-TWC,Documentary,R,537661,63779
290,Shaandaar,10/22/2015 0:00:00,Fox International,Comedy,Not Rated,521794,61897
291,The Black Panthers: Vanguard of the Revolution,9/2/2015 0:00:00,PBS Distribution,Documentary,Not Rated,516893,61315
292,Awake: The Life of Yogananda,10/10/2014 0:00:00,Counterpoint Films & Self-Realization Fellowship,Documentary,PG,509752,60468
293,Deli Man: The Movie,2/27/2015 0:00:00,Cohen Media Group,Documentary,PG-13,502294,59584
294,Remember,10/16/2015 0:00:00,Entertainment One,Thriller/Suspense,R,501931,59541
