,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
82,284600.0,Thriller,Night Moves,N/A,R,2014-05-30,112
83,518200.0,Foreign,A Girl Walks Home Alone at Night,N/A,Unrated,2014-11-21,99
84,69864600.0,Action,Battleship,$209 million,PG-13,2012-05-18,131
85,54500.0,Documentary,Pianomania,N/A,Unrated,2011-05-27,93
86,234100.0,Sci-Fi Adventure,2001: A Space Odyssey,N/A,G,2013-01-02,0
87,5047900.0,Drama,90 Minutes in Heaven,$5 million,PG-13,2015-09-11,121
88,9300.0,Comedy,Lucky,N/A,R,2011-07-15,103
89,177713800.0,Animation,Kung Fu Panda 2,$150 million,PG,2011-05-26,91
90,189031600.0,Action / Adventure,Ant-Man,$130 million,PG-13,2015-07-17,117
91,3800.0,Documentary,Building Hope,N/A,Unrated,2011-06-03,72
92,399100.0,Drama,Venus in Fur,N/A,Unrated,2014-06-20,96
93,12259300.0,Drama,The Words,$6 million,PG-13,2012-09-07,96
94,17600.0,Drama,Return,N/A,Unrated,2012-02-10,97
95,136900.0,Foreign,Twenty,N/A,Unrated,2015-04-17,115
96,13800.0,Documentary,Sol LeWitt,N/A,Unrated,2014-05-07,74
97,2056000.0,Comedy / Drama,Tamasha,N/A,Unrated,2015-11-25,139
98,8278000.0,Documentary,Jerusalem,N/A,Unrated,2013-09-13,45
99,357000.0,Drama,The First Grader,N/A,PG-13,2011-05-13,103
100,99100.0,Romantic Comedy,Girl on a Bicycle,N/A,R,2014-02-14,101
101,50500.0,Drama,Wish You Were Here,N/A,R,2013-06-07,89
102,3200.0,Foreign,Protektor,N/A,Unrated,2011-08-05,98
103,2288300.0,Foreign,Gloria,N/A,R,2014-01-24,110
104,46200.0,Drama,Beyond the Reach,N/A,R,2015-04-17,91
105,43256600.0,Adventure,Hanna,$30 million,PG-13,2011-04-08,111
106,13800.0,Fantasy Drama,Around June,N/A,Unrated,2012-02-24,93
107,111000.0,Documentary,Ivory Tower,N/A,PG-13,2014-06-13,90
108,39400.0,Comedy / Drama,Touchy Feely,N/A,R,2013-09-06,90
109,1192500.0,Romantic Comedy,The Heart Specialist,N/A,R,2011-01-14,99
110,436400.0,Foreign,Badlapur,N/A,Unrated,2015-02-20,128
111,8400.0,Comedy,Gone Doggy Gone,N/A,Unrated,2015-06-26,89
112,58600.0,Romance,At Middleton,N/A,R,2014-01-31,99
113,127400.0,Foreign,Yossi,N/A,Unrated,2013-01-25,84
114,66700.0,Romance,The Bodyguard,N/A,R,2012-03-28,130
115,387900.0,Foreign,The Second Mother,N/A,R,2015-08-28,111
116,31880100.0,Concert,One Direction: This is Us,$10 million,PG,2013-08-30,92
117,20200.0,Foreign,Let My People Go!,N/A,Unrated,2013-01-11,86
118,24900.0,Documentary,Hellbound?,N/A,Unrated,2012-09-21,84
119,15100.0,Drama,Justice Is Mind,N/A,Unrated,2013-08-18,153
120,214800.0,Romantic Comedy,Arthur Newman,N/A,R,2013-04-26,100
121,246654800.0,Action,Fast & Furious 6,$160 million,PG-13,2013-05-24,130
122,371600.0,Animation,Kahlil Gibran's The Prophet,N/A,PG,2015-08-07,83
123,76500.0,Horror Thriller,Intruders,N/A,R,2012-03-30,100
124,900.0,Crime,Big Muddy,N/A,R,2015-01-23,104
125,51300.0,Documentary,The Woodmans,N/A,Unrated,2011-01-19,82
126,35700.0,Drama,It Felt Like Love,N/A,Unrated,2014-03-21,82
127,173900.0,Fantasy,Sinbad: The Fifth Voyage,N/A,PG-13,2014-02-07,89
128,25100.0,Documentary,Lost Bohemia,N/A,Unrated,2011-05-20,77
129,1600.0,Drama,Forever,N/A,R,2015-09-11,95
130,1100.0,Drama / Thriller,Strangers Online,N/A,R,2011-06-24,107
131,9600.0,Foreign,Corpo Celeste,N/A,Unrated,2012-06-08,100
132,351500.0,Thriller,The Guest,N/A,R,2014-09-17,99
133,1700.0,Drama,The Looking Glass,N/A,Unrated,2015-10-23,110
134,256400.0,Drama,Trishna,N/A,R,2012-07-13,108
135,250400.0,Documentary,A Place at the Table,N/A,PG,2013-03-01,84
136,8476600.0,Fantasy,Vampire Academy,N/A,PG-13,2014-02-07,104
137,66627300.0,Thriller,The Purge,$3 million,R,2013-06-07,85
138,408300.0,Documentary,Dirty Wars,N/A,Unrated,2013-06-07,90
139,39990700.0,Action,Colombiana,$40 million,PG-13,2011-08-26,107
140,65000.0,Documentary,Side By Side,N/A,Unrated,2012-08-17,99
141,84200.0,Foreign / Action,Hara-Kiri: Death of a Samurai,N/A,Unrated,2012-07-20,126
142,3700.0,Documentary,That Sugar Film,N/A,Unrated,2015-07-31,90
143,15412500.0,Drama,Big Eyes,N/A,PG-13,2014-12-25,106
144,27763800.0,Comedy / Drama,Her,$23 million,R,2013-12-18,120
145,6700.0,Animation,Capture the Flag,N/A,PG,2015-12-04,97
146,247600.0,Documentary,Into the Abyss,N/A,PG-13,2011-11-11,107
147,10400.0,Drama,Vito Bonafacci,N/A,Unrated,2011-05-06,97
148,96682100.0,Comedy,The Campaign,N/A,R,2012-08-10,97
149,351700.0,Documentary,The Central Park Five,N/A,Unrated,2012-11-23,119
150,18800.0,Comedy,Kelly & Cal,N/A,R,2014-09-05,110
151,150469800.0,Action,Taken 2,$45 million,PG-13,2012-10-05,91
152,41052800.0,Comedy / Drama,August: Osage County,N/A,R,2013-12-27,130
153,3700.0,Foreign / Action,Sleepless Night,N/A,Unrated,2012-05-11,98
154,392100.0,Foreign,Women Who Flirt,N/A,Unrated,2014-11-26,0
155,47000.0,Foreign,Nobody Else But You,N/A,Unrated,2012-05-11,102
156,34826100.0,Drama,Extremely Loud & Incredibly Close,N/A,PG-13,2011-12-25,129
157,41400.0,Documentary,Herb and Dorothy 50x50,N/A,Unrated,2013-09-13,90
158,37000.0,Documentary,Orchestra of Exiles,N/A,Unrated,2012-10-26,85
159,6500.0,Romantic Comedy,Cavemen,N/A,R,2014-02-07,87
160,3600.0,Documentary,In the Basement,N/A,Unrated,2015-11-06,81
161,20500.0,Foreign / Action,The Sorcerer and the White Snake,N/A,PG-13,2013-02-08,100
162,201400.0,Foreign,Uncle Boonmee Who Can Recall His Past Lives,N/A,Unrated,2011-03-02,114
163,794400.0,Foreign,Mausam,N/A,Unrated,2011-09-23,155
164,18900.0,Comedy,Archie's Final Project,N/A,Unrated,2011-09-23,105
165,6700.0,Foreign,The Last Time I Saw Macao,N/A,Unrated,2013-09-13,85
166,5000.0,Documentary,Death Metal Angola,N/A,R,2014-11-07,83
167,150500.0,Documentary,Narco Cultura,N/A,R,2013-11-22,102
168,17700.0,Documentary,Out of the Clear Blue Sky,N/A,Unrated,2013-09-06,107
169,14800.0,Romantic Comedy,Dorfman in Love,N/A,R,2013-03-22,92
170,38400.0,Comedy,The Inbetweeners Movie,N/A,R,2012-09-07,95
171,332800.0,Drama,In the Land of Blood and Honey,N/A,R,2011-12-23,127
172,87658100.0,Comedy,Zookeeper,$80 million,PG,2011-07-08,104
173,8800.0,Documentary,The Institute,N/A,Unrated,2013-10-04,92
174,40600.0,Foreign,Post Tenebras Lux,N/A,Unrated,2013-05-01,115
175,9900.0,Drama,Big Words,N/A,Unrated,2013-07-19,94
176,29700.0,Documentary,The Nightmare,N/A,Unrated,2015-06-05,91
177,4200.0,Foreign,Beyond Outrage,N/A,R,2014-01-03,110
178,24800.0,Documentary,Dear Mr. Watterson,N/A,Unrated,2013-11-15,99
179,58070300.0,Drama,The Hundred-Foot Journey,$22 million,PG,2014-08-08,122
180,101300.0,Foreign,Goodbye First Love,N/A,Unrated,2012-04-20,110
181,10090900.0,Adventure,The Walk,$35 million,PG,2015-09-30,123
182,10200.0,Foreign,Antoine and Antoinette,N/A,Unrated,2013-09-25,84
183,3069700.0,Comedy,The Trip to Italy,N/A,Unrated,2014-08-15,0
184,735400.0,Documentary,Red Army,N/A,PG,2015-01-23,76
185,7900.0,Drama,London River,N/A,Unrated,2011-12-07,87
186,1573500.0,Foreign,Kid With a Bike,N/A,PG-13,2012-03-16,87
187,307600.0,Documentary,Something From Nothing: The Art of Rap,N/A,R,2012-06-15,113
188,57300.0,Documentary,A Trip to the Moon/The Extraordinary Voyage,N/A,Unrated,2012-02-10,0
189,9000.0,Drama,An Eye for Beauty,N/A,Unrated,2015-08-28,102
190,100913000.0,Drama,Flight,$31 million,R,2012-11-02,139
191,27300.0,Drama,Nobody Walks,N/A,R,2012-10-19,83
192,7280200.0,Musical,Black Nativity,$17.5 million,PG,2013-11-27,92
193,282200.0,Drama,The Music Never Stopped,N/A,PG,2011-03-18,105
194,1673500.0,Drama,Bless Me Ultima,N/A,PG-13,2013-02-22,106
195,1102100.0,Foreign,Stalingrad,N/A,R,2014-02-28,131
196,24700.0,Adventure,Black Death,N/A,R,2011-03-11,97
197,34850400.0,Comedy / Drama,The Second Best Exotic Marigold Hotel,$10 million,PG,2015-03-06,122
198,61500.0,Drama,Flowers,N/A,Unrated,2015-10-30,99
199,5900.0,Comedy / Drama,Tu Dors Nicole,N/A,Unrated,2015-05-29,93
200,1723200.0,Foreign / Action,Race 2,N/A,Unrated,2013-01-25,150
201,233198500.0,Animation,Dr. Seuss' The Lorax,$70 million,PG,2012-03-02,95
202,28100.0,Foreign,Django,N/A,Unrated,2012-12-21,91
203,5862500.0,Action Comedy,Chennai Express,N/A,Unrated,2013-08-08,141
204,49167500.0,Drama,The Judge,$50 million,R,2014-10-10,141
205,915400.0,Animation,Boruto: Naruto the Movie,N/A,Unrated,2015-10-10,100
206,83400.0,Documentary,Circo,N/A,Unrated,2011-04-01,75
207,3673700.0,Foreign,Mommy,N/A,R,2014-09-19,0
208,46400.0,Comedy / Drama,The Graduate: 45th Anniversary Reunion,N/A,PG,2012-04-11,106
209,700.0,Action,Hammer of the Gods,N/A,R,2013-07-05,99
210,1335000.0,Comedy,"For a Good Time, Call...",N/A,R,2012-08-31,86
211,65800.0,Foreign,No Tears for the Dead,N/A,Unrated,2014-06-13,116
212,21700.0,Foreign,Lekar Hum Deewana Dil,N/A,Unrated,2014-07-04,0
213,9600.0,Documentary,"One Cut, One Life",N/A,Unrated,2015-05-13,105
214,737100.0,Animation,The Tale of The Princess Kaguya,N/A,PG,2014-10-17,137
215,1002300.0,Foreign,Shaadi Ke Side Effects,N/A,Unrated,2014-02-28,153
216,22000.0,Drama,The Sacrifice,N/A,Unrated,2014-11-12,0
217,16600.0,Documentary,Only the Young,N/A,Unrated,2012-12-07,72
218,4769600.0,Drama,Seven Days in Utopia,N/A,G,2011-09-02,98
219,12142200.0,Romance,Jane Eyre,N/A,PG-13,2011-03-11,121
220,40071700.0,Comedy,Jumping the Broom,$6.6 million,PG-13,2011-05-06,113
221,245000.0,Documentary,James Cameron's Deepsea Challenge 3D,N/A,PG,2014-08-08,91
222,4026200.0,Documentary,Searching for Sugar Man,N/A,PG-13,2012-07-27,85
223,3000.0,Foreign / Action,Black Out,N/A,Unrated,2014-02-21,91
224,1362400.0,Documentary,The Salt of the Earth,N/A,PG-13,2015-03-27,110
225,5300.0,Action,The Dead Lands,N/A,R,2015-04-17,107
226,117600.0,Comedy / Drama,Hello I Must Be Going,N/A,R,2012-09-07,95
227,572700.0,Foreign,Where Do We Go Now?,N/A,PG-13,2012-05-11,110
228,2557100.0,Thriller,Kill the Messenger,N/A,R,2014-10-10,112
229,27900.0,Horror,Death of the Virgin,N/A,Unrated,2012-02-10,103
230,14600.0,Animation,War of the Worlds: Goliath,N/A,PG-13,2014-03-07,85
231,17212800.0,Horror,Devil's Due,$7 million,R,2014-01-17,89
232,2231700.0,Foreign,Incendies,$6.8 million,R,2011-04-22,130
233,720900.0,Foreign,Student of the Year,N/A,Unrated,2012-10-19,0
234,5000.0,Documentary,Half the Road,N/A,Unrated,2014-04-18,112
235,9501600.0,Animation,Un Gallo con Muchos Huevos,$5.3 million,PG-13,2015-09-04,98
236,24900.0,Documentary,Happy Valley,N/A,Unrated,2014-11-21,98
237,22000.0,Comedy,Wedding Palace,N/A,Unrated,2013-09-27,98
238,86500.0,Documentary,More Than Honey,N/A,Unrated,2013-06-12,95
239,5600.0,Documentary,Flex is Kings,N/A,Unrated,2014-04-04,83
240,290000.0,Documentary,Conan O'Brien Can't Stop,N/A,R,2011-06-24,89
