,Unnamed: 0,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
72,72,1800.0,Comedy,They're Out of Business,,Unrated,2011-04-06,89
73,73,37800.0,Drama,Kindergarten Teacher,,NC-17,2015-07-31,119
74,74,142600.0,Foreign,The Jewish Cardinal,,Unrated,2014-01-10,96
75,75,40444000.0,Comedy,The Change-Up,$52 million,R,2011-08-05,101
76,76,22000.0,Drama,Animals,,Unrated,2015-05-15,90
77,77,25700.0,Documentary,Greenwich Village: Music That Defined a Generation,,Unrated,2013-01-18,121
78,78,35400.0,Documentary,Finders Keepers,,R,2015-09-25,82
79,79,40286800.0,Comedy,The Guilt Trip,$40 million,PG-13,2012-12-19,95
80,80,3300.0,Thriller,ATM,,R,2012-04-06,90
81,81,11137300.0,Thriller,The Gunman,$40 million,R,2015-03-20,115
82,82,284600.0,Thriller,Night Moves,,R,2014-05-30,112
83,83,518200.0,Foreign,A Girl Walks Home Alone at Night,,Unrated,2014-11-21,99
84,84,69864600.0,Action,Battleship,$209 million,PG-13,2012-05-18,131
85,85,54500.0,Documentary,Pianomania,,Unrated,2011-05-27,93
86,86,234100.0,Sci-Fi Adventure,2001: A Space Odyssey,,G,2013-01-02,0
87,87,5047900.0,Drama,90 Minutes in Heaven,$5 million,PG-13,2015-09-11,121
88,88,9300.0,Comedy,Lucky,,R,2011-07-15,103
89,89,177713800.0,Animation,Kung Fu Panda 2,$150 million,PG,2011-05-26,91
90,90,189031600.0,Action / Adventure,Ant-Man,$130 million,PG-13,2015-07-17,117
91,91,3800.0,Documentary,Building Hope,,Unrated,2011-06-03,72
92,92,399100.0,Drama,Venus in Fur,,Unrated,2014-06-20,96
93,93,12259300.0,Drama,The Words,$6 million,PG-13,2012-09-07,96
94,94,17600.0,Drama,Return,,Unrated,2012-02-10,97
95,95,136900.0,Foreign,Twenty,,Unrated,2015-04-17,115
96,96,13800.0,Documentary,Sol LeWitt,,Unrated,2014-05-07,74
97,97,2056000.0,Comedy / Drama,Tamasha,,Unrated,2015-11-25,139
98,98,8278000.0,Documentary,Jerusalem,,Unrated,2013-09-13,45
99,99,357000.0,Drama,The First Grader,,PG-13,2011-05-13,103
100,100,99100.0,Romantic Comedy,Girl on a Bicycle,,R,2014-02-14,101
101,101,50500.0,Drama,Wish You Were Here,,R,2013-06-07,89
102,102,3200.0,Foreign,Protektor,,Unrated,2011-08-05,98
103,103,2288300.0,Foreign,Gloria,,R,2014-01-24,110
104,104,46200.0,Drama,Beyond the Reach,,R,2015-04-17,91
105,105,43256600.0,Adventure,Hanna,$30 million,PG-13,2011-04-08,111
106,106,13800.0,Fantasy Drama,Around June,,Unrated,2012-02-24,93
107,107,111000.0,Documentary,Ivory Tower,,PG-13,2014-06-13,90
108,108,39400.0,Comedy / Drama,Touchy Feely,,R,2013-09-06,90
109,109,1192500.0,Romantic Comedy,The Heart Specialist,,R,2011-01-14,99
110,110,436400.0,Foreign,Badlapur,,Unrated,2015-02-20,128
111,111,8400.0,Comedy,Gone Doggy Gone,,Unrated,2015-06-26,89
112,112,58600.0,Romance,At Middleton,,R,2014-01-31,99
113,113,127400.0,Foreign,Yossi,,Unrated,2013-01-25,84
114,114,66700.0,Romance,The Bodyguard,,R,2012-03-28,130
115,115,387900.0,Foreign,The Second Mother,,R,2015-08-28,111
116,116,31880100.0,Concert,One Direction: This is Us,$10 million,PG,2013-08-30,92
117,117,20200.0,Foreign,Let My People Go!,,Unrated,2013-01-11,86
118,118,24900.0,Documentary,Hellbound?,,Unrated,2012-09-21,84
119,119,15100.0,Drama,Justice Is Mind,,Unrated,2013-08-18,153
120,120,214800.0,Romantic Comedy,Arthur Newman,,R,2013-04-26,100
121,121,246654800.0,Action,Fast & Furious 6,$160 million,PG-13,2013-05-24,130
122,122,371600.0,Animation,Kahlil Gibran's The Prophet,,PG,2015-08-07,83
123,123,76500.0,Horror Thriller,Intruders,,R,2012-03-30,100
124,124,900.0,Crime,Big Muddy,,R,2015-01-23,104
125,125,51300.0,Documentary,The Woodmans,,Unrated,2011-01-19,82
126,126,35700.0,Drama,It Felt Like Love,,Unrated,2014-03-21,82
127,127,173900.0,Fantasy,Sinbad: The Fifth Voyage,,PG-13,2014-02-07,89
128,128,25100.0,Documentary,Lost Bohemia,,Unrated,2011-05-20,77
129,129,1600.0,Drama,Forever,,R,2015-09-11,95
130,130,1100.0,Drama / Thriller,Strangers Online,,R,2011-06-24,107
131,131,9600.0,Foreign,Corpo Celeste,,Unrated,2012-06-08,100
132,132,351500.0,Thriller,The Guest,,R,2014-09-17,99
133,133,1700.0,Drama,The Looking Glass,,Unrated,2015-10-23,110
134,134,256400.0,Drama,Trishna,,R,2012-07-13,108
135,135,250400.0,Documentary,A Place at the Table,,PG,2013-03-01,84
136,136,8476600.0,Fantasy,Vampire Academy,,PG-13,2014-02-07,104
137,137,66627300.0,Thriller,The Purge,$3 million,R,2013-06-07,85
138,138,408300.0,Documentary,Dirty Wars,,Unrated,2013-06-07,90
139,139,39990700.0,Action,Colombiana,$40 million,PG-13,2011-08-26,107
140,140,65000.0,Documentary,Side By Side,,Unrated,2012-08-17,99
141,141,84200.0,Foreign / Action,Hara-Kiri: Death of a Samurai,,Unrated,2012-07-20,126
142,142,3700.0,Documentary,That Sugar Film,,Unrated,2015-07-31,90
143,143,15412500.0,Drama,Big Eyes,,PG-13,2014-12-25,106
144,144,27763800.0,Comedy / Drama,Her,$23 million,R,2013-12-18,120
145,145,6700.0,Animation,Capture the Flag,,PG,2015-12-04,97
146,146,247600.0,Documentary,Into the Abyss,,PG-13,2011-11-11,107
147,147,10400.0,Drama,Vito Bonafacci,,Unrated,2011-05-06,97
148,148,96682100.0,Comedy,The Campaign,,R,2012-08-10,97
149,149,351700.0,Documentary,The Central Park Five,,Unrated,2012-11-23,119
150,150,18800.0,Comedy,Kelly & Cal,,R,2014-09-05,110
151,151,150469800.0,Action,Taken 2,$45 million,PG-13,2012-10-05,91
152,152,41052800.0,Comedy / Drama,August: Osage County,,R,2013-12-27,130
153,153,3700.0,Foreign / Action,Sleepless Night,,Unrated,2012-05-11,98
154,154,392100.0,Foreign,Women Who Flirt,,Unrated,2014-11-26,0
155,155,47000.0,Foreign,Nobody Else But You,,Unrated,2012-05-11,102
156,156,34826100.0,Drama,Extremely Loud & Incredibly Close,,PG-13,2011-12-25,129
157,157,41400.0,Documentary,Herb and Dorothy 50x50,,Unrated,2013-09-13,90
158,158,37000.0,Documentary,Orchestra of Exiles,,Unrated,2012-10-26,85
159,159,6500.0,Romantic Comedy,Cavemen,,R,2014-02-07,87
160,160,3600.0,Documentary,In the Basement,,Unrated,2015-11-06,81
161,161,20500.0,Foreign / Action,The Sorcerer and the White Snake,,PG-13,2013-02-08,100
162,162,201400.0,Foreign,Uncle Boonmee Who Can Recall His Past Lives,,Unrated,2011-03-02,114
163,163,794400.0,Foreign,Mausam,,Unrated,2011-09-23,155
164,164,18900.0,Comedy,Archie's Final Project,,Unrated,2011-09-23,105
165,165,6700.0,Foreign,The Last Time I Saw Macao,,Unrated,2013-09-13,85
166,166,5000.0,Documentary,Death Metal Angola,,R,2014-11-07,83
167,167,150500.0,Documentary,Narco Cultura,,R,2013-11-22,102
168,168,17700.0,Documentary,Out of the Clear Blue Sky,,Unrated,2013-09-06,107
169,169,14800.0,Romantic Comedy,Dorfman in Love,,R,2013-03-22,92
170,170,38400.0,Comedy,The Inbetweeners Movie,,R,2012-09-07,95
171,171,332800.0,Drama,In the Land of Blood and Honey,,R,2011-12-23,127
172,172,87658100.0,Comedy,Zookeeper,$80 million,PG,2011-07-08,104
173,173,8800.0,Documentary,The Institute,,Unrated,2013-10-04,92
174,174,40600.0,Foreign,Post Tenebras Lux,,Unrated,2013-05-01,115
175,175,9900.0,Drama,Big Words,,Unrated,2013-07-19,94
176,176,29700.0,Documentary,The Nightmare,,Unrated,2015-06-05,91
177,177,4200.0,Foreign,Beyond Outrage,,R,2014-01-03,110
178,178,24800.0,Documentary,Dear Mr. Watterson,,Unrated,2013-11-15,99
179,179,58070300.0,Drama,The Hundred-Foot Journey,$22 million,PG,2014-08-08,122
180,180,101300.0,Foreign,Goodbye First Love,,Unrated,2012-04-20,110
181,181,10090900.0,Adventure,The Walk,$35 million,PG,2015-09-30,123
182,182,10200.0,Foreign,Antoine and Antoinette,,Unrated,2013-09-25,84
183,183,3069700.0,Comedy,The Trip to Italy,,Unrated,2014-08-15,0
184,184,735400.0,Documentary,Red Army,,PG,2015-01-23,76
185,185,7900.0,Drama,London River,,Unrated,2011-12-07,87
186,186,1573500.0,Foreign,Kid With a Bike,,PG-13,2012-03-16,87
187,187,307600.0,Documentary,Something From Nothing: The Art of Rap,,R,2012-06-15,113
188,188,57300.0,Documentary,A Trip to the Moon/The Extraordinary Voyage,,Unrated,2012-02-10,0
189,189,9000.0,Drama,An Eye for Beauty,,Unrated,2015-08-28,102
190,190,100913000.0,Drama,Flight,$31 million,R,2012-11-02,139
191,191,27300.0,Drama,Nobody Walks,,R,2012-10-19,83
192,192,7280200.0,Musical,Black Nativity,$17.5 million,PG,2013-11-27,92
193,193,282200.0,Drama,The Music Never Stopped,,PG,2011-03-18,105
194,194,1673500.0,Drama,Bless Me Ultima,,PG-13,2013-02-22,106
195,195,1102100.0,Foreign,Stalingrad,,R,2014-02-28,131
196,196,24700.0,Adventure,Black Death,,R,2011-03-11,97
197,197,34850400.0,Comedy / Drama,The Second Best Exotic Marigold Hotel,$10 million,PG,2015-03-06,122
198,198,61500.0,Drama,Flowers,,Unrated,2015-10-30,99
199,199,5900.0,Comedy / Drama,Tu Dors Nicole,,Unrated,2015-05-29,93
200,200,1723200.0,Foreign / Action,Race 2,,Unrated,2013-01-25,150
201,201,233198500.0,Animation,Dr. Seuss' The Lorax,$70 million,PG,2012-03-02,95
202,202,28100.0,Foreign,Django,,Unrated,2012-12-21,91
203,203,5862500.0,Action Comedy,Chennai Express,,Unrated,2013-08-08,141
204,204,49167500.0,Drama,The Judge,$50 million,R,2014-10-10,141
205,205,915400.0,Animation,Boruto: Naruto the Movie,,Unrated,2015-10-10,100
206,206,83400.0,Documentary,Circo,,Unrated,2011-04-01,75
207,207,3673700.0,Foreign,Mommy,,R,2014-09-19,0
208,208,46400.0,Comedy / Drama,The Graduate: 45th Anniversary Reunion,,PG,2012-04-11,106
209,209,700.0,Action,Hammer of the Gods,,R,2013-07-05,99
210,210,1335000.0,Comedy,"For a Good Time, Call...",,R,2012-08-31,86
211,211,65800.0,Foreign,No Tears for the Dead,,Unrated,2014-06-13,116
212,212,21700.0,Foreign,Lekar Hum Deewana Dil,,Unrated,2014-07-04,0
213,213,9600.0,Documentary,"One Cut, One Life",,Unrated,2015-05-13,105
214,214,737100.0,Animation,The Tale of The Princess Kaguya,,PG,2014-10-17,137
215,215,1002300.0,Foreign,Shaadi Ke Side Effects,,Unrated,2014-02-28,153
216,216,22000.0,Drama,The Sacrifice,,Unrated,2014-11-12,0
217,217,16600.0,Documentary,Only the Young,,Unrated,2012-12-07,72
218,218,4769600.0,Drama,Seven Days in Utopia,,G,2011-09-02,98
219,219,12142200.0,Romance,Jane Eyre,,PG-13,2011-03-11,121
220,220,40071700.0,Comedy,Jumping the Broom,$6.6 million,PG-13,2011-05-06,113
221,221,245000.0,Documentary,James Cameron's Deepsea Challenge 3D,,PG,2014-08-08,91
222,222,4026200.0,Documentary,Searching for Sugar Man,,PG-13,2012-07-27,85
223,223,3000.0,Foreign / Action,Black Out,,Unrated,2014-02-21,91
224,224,1362400.0,Documentary,The Salt of the Earth,,PG-13,2015-03-27,110
225,225,5300.0,Action,The Dead Lands,,R,2015-04-17,107
226,226,117600.0,Comedy / Drama,Hello I Must Be Going,,R,2012-09-07,95
227,227,572700.0,Foreign,Where Do We Go Now?,,PG-13,2012-05-11,110
228,228,2557100.0,Thriller,Kill the Messenger,,R,2014-10-10,112
229,229,27900.0,Horror,Death of the Virgin,,Unrated,2012-02-10,103
