Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
1,Guardians of the Galaxy,8/1/2014 0:00:00,Walt Disney,Adventure,PG-13,333055258,40765637
2,The Hunger Games: Mockingjay - Part 1,11/21/2014 0:00:00,Lionsgate,Thriller/Suspense,PG-13,323734502,39624786
3,Captain America: The Winter Soldier,4/4/2014 0:00:00,Walt Disney,Action,PG-13,259746958,31792773
4,The Lego Movie,2/7/2014 0:00:00,Warner Bros.,Adventure,PG,257784718,31552597
5,Transformers: Age of Extinction,6/27/2014 0:00:00,Paramount Pictures,Action,PG-13,245439076,30041502
6,Maleficent,5/30/2014 0:00:00,Walt Disney,Adventure,PG,241407328,29548020
7,X-Men: Days of Future Past,5/23/2014 0:00:00,20th Century Fox,Action,PG-13,233921534,28631766
8,The Hobbit: The Battle of the Five Armies,12/17/2014 0:00:00,Warner Bros.,Adventure,PG-13,220602017,27001470
9,Big Hero 6,11/7/2014 0:00:00,Walt Disney,Adventure,PG,211207036,25851534
10,Dawn of the Planet of the Apes,7/11/2014 0:00:00,20th Century Fox,Adventure,PG-13,208545589,25525775
11,The Amazing Spider-Man 2,5/2/2014 0:00:00,Sony Pictures,Action,PG-13,202853933,24829122
12,Godzilla,5/16/2014 0:00:00,Warner Bros.,Action,PG-13,200676069,24562554
13,22 Jump Street,6/13/2014 0:00:00,Sony Pictures,Comedy,R,191719337,23466259
14,Teenage Mutant Ninja Turtles,8/8/2014 0:00:00,Paramount Pictures,Adventure,PG-13,191204754,23403274
15,Interstellar,11/7/2014 0:00:00,Paramount Pictures,Adventure,PG-13,182802094,22374797
16,How to Train Your Dragon 2,6/13/2014 0:00:00,20th Century Fox,Adventure,PG,177002924,21664984
17,Gone Girl,10/3/2014 0:00:00,20th Century Fox,Thriller/Suspense,R,166726809,20407198
18,Divergent,3/21/2014 0:00:00,Lionsgate,Adventure,PG-13,150947895,18475874
19,Neighbors,5/9/2014 0:00:00,Universal,Comedy,R,150086800,18370477
20,Ride Along,1/17/2014 0:00:00,Universal,Comedy,PG-13,134202565,16426262
21,Rio 2,4/11/2014 0:00:00,20th Century Fox,Adventure,G,131538435,16100175
22,Lucy,7/25/2014 0:00:00,Universal,Action,R,126573960,15492528
23,The Fault in Our Stars,6/6/2014 0:00:00,20th Century Fox,Drama,PG-13,124872350,15284253
24,Lone Survivor,1/10/2014 0:00:00,Universal,Action,R,124768916,15271593
25,Mr. Peabody & Sherman,3/7/2014 0:00:00,20th Century Fox,Adventure,PG,111506430,13648277
26,300: Rise of an Empire,3/7/2014 0:00:00,Warner Bros.,Action,R,106580051,13045293
27,Frozen,11/27/2013 0:00:00,Walt Disney,Adventure,PG,104046280,12735162
28,The Maze Runner,9/19/2014 0:00:00,20th Century Fox,Thriller/Suspense,PG-13,102242014,12514322
29,The Equalizer,9/26/2014 0:00:00,Sony Pictures,Action,R,101436176,12415688
30,Noah,3/28/2014 0:00:00,Paramount Pictures,Drama,PG-13,101200044,12386786
31,Edge of Tomorrow,6/6/2014 0:00:00,Warner Bros.,Action,PG-13,100206256,12265147
32,Non-Stop,2/28/2014 0:00:00,Universal,Action,PG-13,91742160,11229150
33,Heaven is for Real,4/16/2014 0:00:00,Sony Pictures,Drama,PG,91386097,11185568
34,Into the Woods,12/25/2014 0:00:00,Walt Disney,Musical,PG,90871655,11122601
35,Night at the Museum: Secret of the Tomb,12/19/2014 0:00:00,20th Century Fox,Adventure,PG,89847179,10997206
36,Unbroken,12/25/2014 0:00:00,Universal,Drama,PG-13,87651495,10728457
37,Fury,10/17/2014 0:00:00,Sony Pictures,Drama,R,85509098,10466229
38,Dumb and Dumber To,11/14/2014 0:00:00,Universal,Comedy,PG-13,85392580,10451968
39,Tammy,7/2/2014 0:00:00,Warner Bros.,Comedy,R,84525432,10345830
40,Annabelle,10/3/2014 0:00:00,Warner Bros.,Horror,R,84273813,10315032
41,The Other Woman,4/25/2014 0:00:00,20th Century Fox,Comedy,PG-13,83911193,10270647
42,Let’s Be Cops,8/13/2014 0:00:00,20th Century Fox,Comedy,R,82390774,10084550
43,Penguins of Madagascar,11/26/2014 0:00:00,20th Century Fox,Comedy,PG,78116780,9561417
44,The Monuments Men,2/7/2014 0:00:00,Sony Pictures,Drama,PG-13,78031620,9550993
45,Hercules,7/25/2014 0:00:00,Paramount Pictures,Action,PG-13,72688614,8897015
46,Annie,12/19/2014 0:00:00,Sony Pictures,Musical,PG,72460370,8869078
47,The Purge: Anarchy,7/18/2014 0:00:00,Universal,Thriller/Suspense,R,71562550,8759186
48,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10/10/2014 0:00:00,Walt Disney,Comedy,PG,66032663,8082333
49,Think Like a Man Too,6/20/2014 0:00:00,Sony Pictures,Romantic Comedy,PG-13,65028687,7959447
50,The Nut Job,1/17/2014 0:00:00,Open Road,Adventure,PG,64251538,7864325
51,American Hustle,12/13/2013 0:00:00,Sony Pictures,Black Comedy,R,62194684,7612568
52,Exodus: Gods and Kings,12/12/2014 0:00:00,20th Century Fox,Drama,PG-13,61342935,7508315
53,God’s Not Dead,3/21/2014 0:00:00,Pure Flix Entertainment,Drama,PG,60755732,7436442
54,Son of God,2/28/2014 0:00:00,20th Century Fox,Drama,PG-13,59700064,7307229
55,Planes: Fire and Rescue,7/18/2014 0:00:00,Walt Disney,Adventure,PG,59157732,7240848
56,The Grand Budapest Hotel,3/7/2014 0:00:00,Fox Searchlight,Comedy,R,59076019,7230846
57,RoboCop,2/12/2014 0:00:00,Sony Pictures,Action,PG-13,58607007,7173440
58,Dracula Untold,10/10/2014 0:00:00,Universal,Action,PG-13,55991880,6853351
59,The Hundred-Foot Journey,8/8/2014 0:00:00,Walt Disney,Romantic Comedy,PG,54235441,6638364
60,The Wolf of Wall Street,12/25/2013 0:00:00,Paramount Pictures,Black Comedy,R,53775227,6582035
61,Horrible Bosses 2,11/26/2014 0:00:00,Warner Bros.,Comedy,R,53063469,6494916
62,No Good Deed,9/12/2014 0:00:00,Sony Pictures,Thriller/Suspense,PG-13,52543632,6431289
63,Muppets Most Wanted,3/21/2014 0:00:00,Walt Disney,Comedy,PG,51178893,6264246
64,Ouija,10/24/2014 0:00:00,Universal,Horror,PG-13,50856010,6224725
65,The Boxtrolls,9/26/2014 0:00:00,Focus Features,Adventure,PG,50618671,6195675
66,Jack Ryan: Shadow Recruit,1/17/2014 0:00:00,Paramount Pictures,Action,PG-13,50577412,6190625
67,If I Stay,8/22/2014 0:00:00,Warner Bros.,Drama,PG-13,50474843,6178071
68,The Book of Life,10/17/2014 0:00:00,20th Century Fox,Adventure,PG,49564131,6066601
69,About Last Night,2/14/2014 0:00:00,Sony Pictures,Romantic Comedy,R,48637684,5953204
70,Into the Storm,8/8/2014 0:00:00,Warner Bros.,Thriller/Suspense,PG-13,47602194,5826461
71,The Judge,10/10/2014 0:00:00,Warner Bros.,Drama,R,47063106,5760478
72,Jersey Boys,6/20/2014 0:00:00,Warner Bros.,Drama,R,47047013,5758508
73,Blended,5/23/2014 0:00:00,Warner Bros.,Romantic Comedy,PG-13,46290741,5665941
74,The Giver,8/15/2014 0:00:00,Weinstein Co.,Drama,PG-13,45090374,5519017
75,Need for Speed,3/14/2014 0:00:00,Walt Disney,Action,PG-13,43568507,5332742
76,St. Vincent,10/24/2014 0:00:00,Weinstein Co.,Comedy,PG-13,43478246,5321694
77,John Wick,10/24/2014 0:00:00,Lionsgate,Action,R,42925323,5254017
78,A Million Ways to Die in The West,5/30/2014 0:00:00,Universal,Comedy,R,42720965,5229004
79,Dolphin Tale 2,9/12/2014 0:00:00,Warner Bros.,Drama,PG,42024533,5143761
80,The Expendables 3,8/15/2014 0:00:00,Lionsgate,Action,PG-13,39322544,4813040
81,Earth to Echo,7/2/2014 0:00:00,Relativity,Adventure,PG,38934842,4765586
82,Sex Tape,7/18/2014 0:00:00,Sony Pictures,Comedy,R,38543473,4717683
83,August:  Osage County,12/25/2013 0:00:00,Weinstein Co.,Black Comedy,R,37257126,4560235
84,Million Dollar Arm,5/16/2014 0:00:00,Walt Disney,Drama,PG,36447959,4461194
85,This is Where I Leave You,9/19/2014 0:00:00,Warner Bros.,Comedy,R,34296320,4197835
86,Paranormal Activity: The Marked Ones,1/3/2014 0:00:00,Paramount Pictures,Horror,R,32462372,3973362
87,Nightcrawler,10/31/2014 0:00:00,Open Road,Thriller/Suspense,R,31983186,3914710
88,Chef,5/9/2014 0:00:00,Open Road,Comedy,R,31424004,3846267
89,3 Days to Kill,2/21/2014 0:00:00,Relativity,Thriller/Suspense,PG-13,30697999,3757405
90,Deliver Us from Evil,7/2/2014 0:00:00,Sony Pictures,Horror,R,30577122,3742609
91,Get on Up,8/1/2014 0:00:00,Universal,Drama,PG-13,30569935,3741730
92,The Imitation Game,11/28/2014 0:00:00,Weinstein Co.,Drama,PG-13,30472090,3729753
93,When the Game Stands Tall,8/22/2014 0:00:00,Sony Pictures,Drama,PG,30127963,3687633
94,The Hobbit: The Desolation of Smaug,12/13/2013 0:00:00,Warner Bros.,Adventure,PG-13,29307213,3587174
95,Draft Day,4/11/2014 0:00:00,Lionsgate,Drama,PG-13,28842237,3530261
96,Oculus,4/11/2014 0:00:00,Relativity,Horror,R,27695246,3389870
97,The Gambler,12/10/2014 0:00:00,Paramount Pictures,Drama,R,27606266,3378979
98,The Best of Me,10/17/2014 0:00:00,Relativity,Drama,PG-13,26739759,3272920
99,That Awkward Moment,1/31/2014 0:00:00,FilmDistrict,Romantic Comedy,R,26068955,3190814
100,A Walk Among the Tombstones,9/19/2014 0:00:00,Universal,Action,R,26017685,3184539
101,Wild,12/3/2014 0:00:00,Fox Searchlight,Drama,R,25880904,3167797
102,Birdman or (The Unexpected Virtue of Ignorance),10/17/2014 0:00:00,Fox Searchlight,Black Comedy,R,25424568,3111942
103,The November Man,8/27/2014 0:00:00,Relativity,Thriller/Suspense,R,25018119,3062193
104,The Theory of Everything,11/7/2014 0:00:00,Focus Features,Drama,PG-13,24772350,3032111
105,Saving Mr. Banks,12/20/2013 0:00:00,Walt Disney,Drama,PG-13,24341481,2979373
106,Boyhood,7/11/2014 0:00:00,IFC Films,Drama,R,24299768,2974267
107,Top Five,12/12/2014 0:00:00,Paramount Pictures,Comedy,R,23740325,2905792
108,Endless Love,2/14/2014 0:00:00,Universal,Drama,PG-13,23438250,2868818
109,Pompeii,2/21/2014 0:00:00,Sony Pictures,Drama,PG-13,23169033,2835866
110,Transcendence,4/18/2014 0:00:00,Warner Bros.,Thriller/Suspense,PG-13,23022309,2817908
111,Her,1/10/2014 0:00:00,Warner Bros.,Drama,R,22580510,2763832
112,Ghostbusters,6/8/1984 0:00:00,Sony Pictures,Comedy,PG,21356969,2614072
113,"As Above, So Below",8/29/2014 0:00:00,Universal,Thriller/Suspense,R,21222315,2597590
114,Brick Mansions,4/25/2014 0:00:00,Relativity,Action,PG-13,20396829,2496551
115,"I, Frankenstein",1/24/2014 0:00:00,Lionsgate,Action,PG-13,19075290,2334796
116,The Legend of Hercules,1/10/2014 0:00:00,Lionsgate,Adventure,PG-13,18848538,2307042
117,Anchorman 2: The Legend Continues,12/18/2013 0:00:00,Paramount Pictures,Comedy,PG-13,18639235,2281424
118,Gravity,10/4/2013 0:00:00,Warner Bros.,Thriller/Suspense,PG-13,18471038,2260836
119,12 Years a Slave,10/18/2013 0:00:00,Fox Searchlight,Drama,R,18199907,2227650
120,Philomena,11/22/2013 0:00:00,Weinstein Co.,Drama,PG-13,18123668,2218319
