Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
1,Finding Dory,6/17/2016 0:00:00,Walt Disney,Adventure,PG,484234949,57441868
2,Captain America: Civil War,5/6/2016 0:00:00,Walt Disney,Action,PG-13,408084349,48408582
3,The Secret Life of Pets,7/8/2016 0:00:00,Universal,Adventure,PG,364453520,43232920
4,The Jungle Book,4/15/2016 0:00:00,Walt Disney,Adventure,PG,363999299,43179039
5,Deadpool,2/12/2016 0:00:00,20th Century Fox,Action,R,363070709,43068886
6,Zootopia,3/4/2016 0:00:00,Walt Disney,Adventure,PG,341268248,40482591
7,Batman v Superman: Dawn of Justice,3/25/2016 0:00:00,Warner Bros.,Action,PG-13,330360194,39188635
8,Suicide Squad,8/5/2016 0:00:00,Warner Bros.,Action,PG-13,318779276,37814860
9,Star Wars Ep. VII: The Force Awakens,12/18/2015 0:00:00,Walt Disney,Adventure,PG-13,194453283,23066818
10,The Revenant,12/25/2015 0:00:00,20th Century Fox,Adventure,R,182317546,21627229
11,Jason Bourne,7/29/2016 0:00:00,Universal,Action,PG-13,161452040,19152080
12,Star Trek Beyond,7/22/2016 0:00:00,Paramount Pictures,Adventure,PG-13,158191001,18765243
13,X-Men: Apocalypse,5/27/2016 0:00:00,20th Century Fox,Action,PG-13,155442489,18439203
14,Kung Fu Panda 3,1/29/2016 0:00:00,20th Century Fox,Adventure,PG,143528619,17025933
15,Ghostbusters,7/15/2016 0:00:00,Sony Pictures,Comedy,PG-13,127448192,15118409
16,Central Intelligence,6/17/2016 0:00:00,Warner Bros.,Comedy,PG-13,127440871,15117541
17,The Legend of Tarzan,7/1/2016 0:00:00,Warner Bros.,Adventure,PG-13,126643061,15022901
18,Bad Moms,7/29/2016 0:00:00,STX Entertainment,Comedy,R,111965902,13281838
19,The Angry Birds Movie,5/20/2016 0:00:00,Sony Pictures,Adventure,PG,107509366,12753186
20,Independence Day: Resurgence,6/24/2016 0:00:00,20th Century Fox,Action,PG-13,103144286,12235383
21,The Conjuring 2: The Enfield Poltergeist,6/10/2016 0:00:00,Warner Bros.,Horror,R,102470008,12155398
22,Sausage Party,8/12/2016 0:00:00,Sony Pictures,Comedy,R,96551624,11453336
23,Sully,9/9/2016 0:00:00,Warner Bros.,Drama,PG-13,95862791,11371624
24,Ride Along 2,1/15/2016 0:00:00,Universal,Comedy,PG-13,90862685,10778491
25,Don’t Breathe,8/26/2016 0:00:00,Sony Pictures,Horror,R,82095084,9738444
26,Teenage Mutant Ninja Turtles: Out of the Shadows,6/3/2016 0:00:00,Paramount Pictures,Adventure,PG-13,82051601,9733286
27,The Purge: Election Year,7/1/2016 0:00:00,Universal,Horror,R,79042440,9376327
28,Alice Through the Looking Glass,5/27/2016 0:00:00,Walt Disney,Adventure,PG,77042381,9139072
29,Pete’s Dragon,8/12/2016 0:00:00,Walt Disney,Adventure,PG,74386959,8824075
30,10 Cloverfield Lane,3/11/2016 0:00:00,Paramount Pictures,Thriller/Suspense,PG-13,72082999,8550770
31,Lights Out,7/22/2016 0:00:00,Warner Bros.,Horror,PG-13,67260966,7978762
32,The Divergent Series: Allegiant,3/18/2016 0:00:00,Lionsgate,Action,PG-13,66184051,7851014
33,Now You See Me 2,6/10/2016 0:00:00,Lionsgate,Thriller/Suspense,PG-13,65075540,7719518
34,Ice Age: Collision Course,7/22/2016 0:00:00,20th Century Fox,Adventure,PG,63715448,7558178
35,The Boss,4/8/2016 0:00:00,Universal,Comedy,R,63077560,7482510
36,London Has Fallen,3/4/2016 0:00:00,Focus Features,Action,R,62524260,7416875
37,Miracles from Heaven,3/16/2016 0:00:00,Sony Pictures,Drama,PG,61705123,7319706
38,My Big Fat Greek Wedding 2,3/25/2016 0:00:00,Universal,Comedy,PG-13,59689605,7080617
39,Daddy’s Home,12/25/2015 0:00:00,Paramount Pictures,Comedy,PG-13,56467276,6698372
40,Me Before You,6/3/2016 0:00:00,Warner Bros.,Drama,PG-13,56245075,6672013
41,The BFG,7/1/2016 0:00:00,Walt Disney,Adventure,PG,55383185,6569772
42,Neighbors 2: Sorority Rising,5/20/2016 0:00:00,Universal,Comedy,R,55340730,6564736
43,The Shallows,6/24/2016 0:00:00,Sony Pictures,Drama,PG-13,55121623,6538745
44,Barbershop: The Next Cut,4/15/2016 0:00:00,Warner Bros.,Comedy,PG,54030051,6409258
45,13 Hours: The Secret Soldiers of Benghazi,1/15/2016 0:00:00,Paramount Pictures,Drama,R,52853219,6269658
46,The Huntsman: Winter’s War,4/22/2016 0:00:00,Universal,Action,PG-13,48003015,5694307
47,Warcraft,6/10/2016 0:00:00,Universal,Action,PG-13,47225655,5602094
48,How to be Single,2/12/2016 0:00:00,Warner Bros.,Romantic Comedy,R,46843513,5556763
49,Kubo and the Two Strings,8/19/2016 0:00:00,Focus Features,Adventure,PG,46218180,5482583
50,Mike and Dave Need Wedding Dates,7/8/2016 0:00:00,20th Century Fox,Comedy,R,45985309,5454959
51,The Magnificent Seven,9/23/2016 0:00:00,Sony Pictures,Western,PG-13,43754232,5190300
52,War Dogs,8/19/2016 0:00:00,Warner Bros.,Comedy,R,42611551,5054751
53,Money Monster,5/13/2016 0:00:00,Sony Pictures,Thriller/Suspense,R,41012075,4865014
54,Nerve,7/27/2016 0:00:00,Lionsgate,Thriller/Suspense,PG-13,38492772,4566165
55,The Big Short,12/11/2015 0:00:00,Paramount Pictures,Drama,R,37204389,4413332
56,Risen,2/19/2016 0:00:00,Sony Pictures,Drama,PG-13,36880033,4374855
57,The Nice Guys,5/20/2016 0:00:00,Warner Bros.,Black Comedy,R,36261763,4301513
58,The Boy,1/22/2016 0:00:00,STX Entertainment,Horror,PG-13,35819556,4249057
59,Dirty Grandpa,1/22/2016 0:00:00,Lionsgate,Comedy,R,35593113,4222196
60,The 5th Wave,1/22/2016 0:00:00,Sony Pictures,Action,PG-13,34912982,4141516
61,Mother’s Day,4/29/2016 0:00:00,Open Road,Romantic Comedy,PG-13,32492859,3854431
62,Gods of Egypt,2/26/2016 0:00:00,Lionsgate,Adventure,PG-13,31153464,3695547
63,"Hail, Caesar!",2/5/2016 0:00:00,Universal,Comedy,PG-13,30080225,3568235
64,Zoolander 2,2/12/2016 0:00:00,Paramount Pictures,Comedy,PG-13,28848693,3422146
65,"Hello, My Name is Doris",3/11/2016 0:00:00,Roadside Attractions,Drama,R,28751693,3410639
66,The Finest Hours,1/29/2016 0:00:00,Walt Disney,Thriller/Suspense,PG,27569558,3270410
67,When the Bough Breaks,9/9/2016 0:00:00,Sony Pictures,Thriller/Suspense,PG-13,27174721,3223573
68,Florence Foster Jenkins,8/12/2016 0:00:00,Paramount Pictures,Drama,PG-13,27029593,3206357
69,The Forest,1/8/2016 0:00:00,Focus / Gramercy,Thriller/Suspense,PG-13,26594261,3154716
70,Ben-Hur,8/19/2016 0:00:00,Paramount Pictures,Drama,PG-13,26318800,3122040
71,Hell or High Water,8/12/2016 0:00:00,Lionsgate,Thriller/Suspense,R,25162491,2984874
72,Sisters,12/18/2015 0:00:00,Universal,Comedy,R,25160535,2984642
73,The Witch,2/19/2016 0:00:00,A24,Horror,R,25138705,2982052
74,The Hateful Eight,12/25/2015 0:00:00,Weinstein Co.,Western,R,25071561,2974087
75,Storks,9/23/2016 0:00:00,Warner Bros.,Adventure,PG,24310981,2883864
76,Whiskey Tango Foxtrot,3/4/2016 0:00:00,Paramount Pictures,Comedy,R,23083334,2738236
77,Mechanic: Resurrection,8/26/2016 0:00:00,Lionsgate,Action,R,20825396,2470390
78,Free State of Jones,6/24/2016 0:00:00,STX Entertainment,Drama,R,20810036,2468568
79,God’s Not Dead 2,4/1/2016 0:00:00,Pure Flix Entertainment,Drama,PG,20773069,2464183
80,Keanu,4/29/2016 0:00:00,Warner Bros.,Comedy,R,20591853,2442687
81,Nine Lives,8/5/2016 0:00:00,EuropaCorp,Comedy,PG,19402408,2301590
82,Race,2/19/2016 0:00:00,Focus Features,Drama,PG-13,19115191,2267519
83,The Choice,2/5/2016 0:00:00,Lionsgate,Drama,PG-13,18730891,2221932
84,Eye in the Sky,3/11/2016 0:00:00,Bleecker Street,Thriller/Suspense,R,18704596,2218813
85,Alvin and the Chipmunks: The Road Chip,12/18/2015 0:00:00,20th Century Fox,Adventure,PG,18240037,2163705
86,Bridget Jones’s Baby,9/16/2016 0:00:00,Universal,Romantic Comedy,R,18191215,2157913
87,Spotlight,11/6/2015 0:00:00,Open Road,Drama,R,17946804,2128920
88,Joy,12/25/2015 0:00:00,20th Century Fox,Drama,PG-13,17930167,2126947
89,Brooklyn,11/4/2015 0:00:00,Fox Searchlight,Drama,PG-13,17509890,2077092
90,Blair Witch,9/16/2016 0:00:00,Lionsgate,Horror,R,17295724,2051687
91,Norm of the North,1/15/2016 0:00:00,Lionsgate,Adventure,PG,17062499,2024021
92,Snowden,9/16/2016 0:00:00,Open Road,Drama,R,16356850,1940314
93,Eddie the Eagle,2/26/2016 0:00:00,20th Century Fox,Drama,PG-13,15789389,1872999
94,The Infiltrator,7/13/2016 0:00:00,Broad Green Pictures,Thriller/Suspense,R,15425870,1829877
95,Criminal,4/15/2016 0:00:00,Lionsgate,Action,R,14708696,1744803
96,Love & Friendship,5/13/2016 0:00:00,Roadside Attractions,Drama,PG,14016568,1662700
97,Hillary’s America: The Secret History of the Democratic Party,7/15/2016 0:00:00,Quality Flix,Documentary,PG-13,13086824,1552410
98,Triple 9,2/26/2016 0:00:00,Open Road,Thriller/Suspense,R,12639297,1499323
99,The Light Between Oceans,9/2/2016 0:00:00,Walt Disney,Drama,PG-13,12085404,1433618
100,Fifty Shades of Black,1/29/2016 0:00:00,Open Road,Comedy,R,11686940,1386351
101,Café Society,7/15/2016 0:00:00,Lionsgate,Drama,PG-13,11023594,1307662
102,Pride and Prejudice and Zombies,2/5/2016 0:00:00,Sony Pictures,Black Comedy,PG-13,10907291,1293866
103,The Darkness,5/13/2016 0:00:00,High Top Releasing,Horror,PG-13,10753574,1275631
104,No Manches Frida,9/2/2016 0:00:00,Lionsgate,Comedy,PG-13,10478180,1242963
105,The Lady in the Van,1/15/2016 0:00:00,Sony Pictures Classics,Drama,PG-13,10021175,1188751
106,Room,10/16/2015 0:00:00,A24,Drama,R,9700702,1150735
107,The Perfect Match,3/11/2016 0:00:00,Lionsgate,Romantic Comedy,R,9669521,1147036
108,Popstar: Never Stop Never Stopping,6/3/2016 0:00:00,Universal,Comedy,R,9496130,1126468
109,Concussion,12/25/2015 0:00:00,Sony Pictures,Drama,PG-13,9265182,1099072
110,Hardcore Henry,4/8/2016 0:00:00,STX Entertainment,Action,R,9252038,1097513
111,The Lobster,5/13/2016 0:00:00,A24,Romantic Comedy,R,9196278,1090898
112,Meet the Blacks,4/1/2016 0:00:00,Freestyle Releasing,Comedy,R,9097072,1079130
113,Ratchet and Clank,4/29/2016 0:00:00,Focus Features,Adventure,PG,8813410,1045481
114,The Good Dinosaur,11/25/2015 0:00:00,Walt Disney,Adventure,PG,8320188,986973
115,The Wild Life,9/9/2016 0:00:00,Lionsgate,Adventure,PG,7780212,922919
116,Carol,11/20/2015 0:00:00,Weinstein Co.,Drama,R,7729016,916846
117,The Hunger Games: Mockingjay - Part 2,11/20/2015 0:00:00,Lionsgate,Thriller/Suspense,PG-13,7538507,894247
118,The Brothers Grimsby,3/11/2016 0:00:00,Sony Pictures,Comedy,R,6864016,814236
119,Creed,11/25/2015 0:00:00,Warner Bros.,Drama,PG-13,6645310,788293
120,The Young Messiah,3/11/2016 0:00:00,Focus Features,Drama,PG-13,6469813,767474
121,Point Break,12/25/2015 0:00:00,Warner Bros.,Action,PG-13,6380305,756857
122,Southside with You,8/26/2016 0:00:00,Roadside Attractions,Drama,PG-13,6248086,741172
123,A Beautiful Planet,4/29/2016 0:00:00,Walt Disney,Documentary,G,6042798,716820
124,Captain Fantastic,7/8/2016 0:00:00,Bleecker Street,Drama,R,5703239,676540
125,Sultan,7/6/2016 0:00:00,Yash Raj Films,Action,Not Rated,5599781,664268
126,The Danish Girl,11/27/2015 0:00:00,Focus Features,Drama,R,5063669,600672
127,Hunt for the Wilderpeople,6/24/2016 0:00:00,The Orchard,Comedy,PG-13,5010744,594394
128,Absolutely Fabulous: The Movie,7/22/2016 0:00:00,Fox Searchlight,Comedy,R,4761241,564797
129,Hands of Stone,8/26/2016 0:00:00,Weinstein Co.,Drama,R,4683412,555564
130,The Meddler,4/22/2016 0:00:00,Sony Pictures Classics,Comedy,PG-13,4267219,506194
131,A Hologram for the King,4/22/2016 0:00:00,Roadside Attractions,Drama,R,4212494,499702
132,Swiss Army Man,6/24/2016 0:00:00,A24,Drama,R,4208879,499273
133,45 Years,12/23/2015 0:00:00,IFC Films,Drama,R,4021334,477026
134,Don’t Think Twice,7/22/2016 0:00:00,Film Arcade,Comedy,R,4000344,474536
135,Kabali,7/21/2016 0:00:00,Cinegalaxy,Action,Not Rated,3903095,463000
136,Morgan,9/2/2016 0:00:00,20th Century Fox,Thriller/Suspense,R,3896446,462211
137,The Man Who Knew Infinity,4/29/2016 0:00:00,IFC Films,Drama,PG-13,3875860,459769
138,Where to Invade Next,12/23/2015 0:00:00,Drafthouse Films,Documentary,R,3827261,454004
139,Batman: The Killing Joke,7/25/2016 0:00:00,Fathom Events,Action,R,3775000,447805
140,Midnight Special,3/18/2016 0:00:00,Warner Bros.,Drama,PG-13,3712282,440365
141,Anomalisa,12/30/2015 0:00:00,Paramount Pictures,Comedy,R,3548654,420955
142,Everybody Wants Some,3/30/2016 0:00:00,Paramount Pictures,Comedy,R,3400278,403354
143,Maggie's Plan,5/20/2016 0:00:00,Sony Pictures Classics,Comedy,R,3351230,397536
144,Indignation,7/29/2016 0:00:00,Roadside Attractions,Drama,R,3308735,392495
145,Sing Street,4/15/2016 0:00:00,Weinstein Co.,Musical,PG-13,3237118,383999
146,The Mermaid,2/19/2016 0:00:00,Sony Pictures,Romantic Comedy,R,3229457,383090
147,Green Room,4/15/2016 0:00:00,A24,Horror,R,3220371,382013
148,Our Kind of Traitor,7/1/2016 0:00:00,Roadside Attractions,Thriller/Suspense,R,3153157,374039
149,Compadres,4/22/2016 0:00:00,Lionsgate,Comedy,R,3127773,371028
150,The Other Side of the Door,3/4/2016 0:00:00,20th Century Fox,Horror,R,3000342,355912
151,Anthropoid,8/12/2016 0:00:00,Bleecker Street,Thriller/Suspense,R,2963630,351557
152,2016 Oscar Shorts,1/29/2016 0:00:00,ShortsHD,Multiple Genres,Not Rated,2816816,334141
153,Ip Man 3,1/22/2016 0:00:00,Well Go USA,Action,PG-13,2679437,317845
154,Miles Ahead,4/1/2016 0:00:00,Sony Pictures Classics,Drama,R,2610896,309714
155,Kapoor & Sons,3/18/2016 0:00:00,FIP,Comedy,Not Rated,2607036,309256
156,The Martian,10/2/2015 0:00:00,20th Century Fox,Thriller/Suspense,PG-13,2522906,299277
157,The Disappointments Room,9/9/2016 0:00:00,Relativity,Horror,R,2395049,284110
158,A Aa,6/1/2016 0:00:00,Bluesky Cinemas,Romantic Comedy,Not Rated,2313043,274382
159,Spectre,11/6/2015 0:00:00,Sony Pictures,Action,PG-13,2240884,265822
160,Hillsong: Let Hope Rise,9/16/2016 0:00:00,Pure Flix Entertainment,Documentary,PG,2182776,258929
161,A Bigger Splash,5/4/2016 0:00:00,Fox Searchlight,Drama,R,2024099,240106
162,Train to Busan,7/22/2016 0:00:00,Well Go USA,Horror,Not Rated,2000456,237302
163,Demolition,4/8/2016 0:00:00,Fox Searchlight,Drama,R,1978592,234708
164,Greater,8/26/2016 0:00:00,Hammond Entertainment,Drama,PG,1800829,213621
165,The Met: Live in HD - Manon Lescaut,3/5/2016 0:00:00,,Concert/Performance,Not Rated,1770000,209964
166,Busco Novio Para Mi Mujer,2/19/2016 0:00:00,Lionsgate,Romantic Comedy,PG-13,1741889,206629
167,Bridge of Spies,10/16/2015 0:00:00,Walt Disney,Thriller/Suspense,PG-13,1703601,202087
168,The Met: Live in HD - Madama Butterfly,4/2/2016 0:00:00,Fathom Events,Concert/Performance,Not Rated,1700900,201767
169,Fan,4/15/2016 0:00:00,Yash Raj Films,Thriller/Suspense,Not Rated,1689879,200460
170,Weiner,5/20/2016 0:00:00,Sundance Selects,Documentary,R,1675196,198718
171,I Saw the Light,3/25/2016 0:00:00,Sony Pictures Classics,Drama,R,1646788,195348
172,Son of Saul,12/18/2015 0:00:00,Sony Pictures Classics,Drama,R,1618509,191993
173,Neerja,2/19/2016 0:00:00,Fox International,Drama,Not Rated,1585687,188100
174,Equity,7/29/2016 0:00:00,Sony Pictures Classics,Drama,R,1535338,182127
175,Jane Got a Gun,1/29/2016 0:00:00,Weinstein Co.,Western,R,1513793,179572
176,"The Beatles: Eight Days a Week, The Working Years",9/16/2016 0:00:00,Abramorama Films,Documentary,Not Rated,1468574,174208
177,The Peanuts Movie,11/6/2015 0:00:00,20th Century Fox,Comedy,G,1415353,167894
178,Genius,6/10/2016 0:00:00,Roadside Attractions,Drama,PG-13,1361045,161452
179,The Neon Demon,6/24/2016 0:00:00,Broad Green Pictures,Horror,R,1333124,158140
180,Embrace of the Serpent,2/17/2016 0:00:00,Oscilloscope Pictures,Drama,Not Rated,1329249,157680
181,Housefull 3,6/3/2016 0:00:00,Eros Entertainment,Romantic Comedy,Not Rated,1326999,157413
182,The Little Prince,2/12/2016 0:00:00,Entertainment One,Adventure,PG,1311213,155541
183,In the Heart of the Sea,12/11/2015 0:00:00,Warner Bros.,Adventure,PG-13,1270588,150722
