Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
140,Getaway,8/30/2013 0:00:00,Warner Bros.,Thriller/Suspense,PG-13,10501938,1291751
141,Bullet to the Head,2/1/2013 0:00:00,Warner Bros.,Action,R,9489829,1167260
142,Peeples,5/10/2013 0:00:00,Lionsgate,Romantic Comedy,PG-13,9177065,1128790
143,Battle of the Year 3D,9/20/2013 0:00:00,Sony Pictures,Drama,PG-13,8888355,1093278
144,Movie 43,1/25/2013 0:00:00,Relativity,Comedy,R,8840453,1087386
145,Before Midnight,5/24/2013 0:00:00,Sony Pictures Classics,Drama,R,8110621,997616
146,Machete Kills,10/11/2013 0:00:00,Open Road,Action,R,8008161,985013
147,Dhoom 3,12/20/2013 0:00:00,Yash Raj Films,Action,Not Rated,7846872,965174
148,Inside Llewyn Davis,12/6/2013 0:00:00,CBS Films,Drama,R,7757978,954240
149,Skyfall,11/9/2012 0:00:00,Sony Pictures,Action,PG-13,7555911,929386
150,Paranoia,8/16/2013 0:00:00,Relativity,Thriller/Suspense,PG-13,7388654,908813
151,Mandela: Long Walk to Freedom,11/29/2013 0:00:00,Weinstein Co.,Drama,PG-13,7061587,868583
152,Black Nativity,11/27/2013 0:00:00,20th Century Fox,Musical,PG,7012316,862523
153,Nebraska,11/15/2013 0:00:00,Paramount Pictures,Drama,R,7003296,861414
154,The Spectacular Now,8/2/2013 0:00:00,A24,Comedy,R,6852971,842923
155,The Grandmaster,8/23/2013 0:00:00,Weinstein Co.,Action,PG-13,6594959,811188
156,Amour,12/19/2012 0:00:00,Sony Pictures Classics,Drama,PG-13,6427707,790615
157,Rise of the Guardians,11/21/2012 0:00:00,Paramount Pictures,Adventure,PG,6185091,760773
158,All is Lost,10/18/2013 0:00:00,Roadside Attractions,Thriller/Suspense,PG-13,6047207,743813
159,The Guilt Trip,12/19/2012 0:00:00,Paramount Pictures,Comedy,PG-13,6022333,740754
160,Justin Bieber’s Believe,12/25/2013 0:00:00,Open Road,Documentary,PG,5962982,733454
161,The Bling Ring,6/14/2013 0:00:00,A24,Drama,R,5845732,719032
162,Pulling Strings,10/4/2013 0:00:00,Pantelion Films,Romantic Comedy,PG,5842961,718691
163,Closed Circuit,8/28/2013 0:00:00,Focus Features,Thriller/Suspense,R,5750995,707379
164,"Monsters, Inc.",11/2/2001 0:00:00,Walt Disney,Adventure,G,5571699,685325
165,The Wizard of Oz,9/23/2009 0:00:00,Warner Bros.,Musical,PG-13,5509334,677654
166,Hubble 3D,3/19/2010 0:00:00,Warner Bros.,Documentary,G,5361957,659527
167,Chennai Express,8/8/2013 0:00:00,UTV Communications,Romantic Comedy,Not Rated,5307960,652885
168,The Company You Keep,4/5/2013 0:00:00,Sony Pictures Classics,Thriller/Suspense,R,5132442,631296
169,20 Feet From Stardom,6/14/2013 0:00:00,RADiUS-TWC,Documentary,PG-13,4821266,593021
170,Much Ado About Nothing,6/7/2013 0:00:00,Roadside Attractions,Romantic Comedy,PG-13,4328850,532453
171,Frances Ha,5/17/2013 0:00:00,IFC Films,Comedy,R,4066826,500224
172,Yeh Jawaani Hai Deewani,5/31/2013 0:00:00,Eros Entertainment,,Not Rated,3827466,470783
173,The To Do List,7/26/2013 0:00:00,CBS Films,Comedy,R,3491669,429479
174,Metallica Through the Never,9/27/2013 0:00:00,Picturehouse,Concert/Performance,R,3419967,420660
175,Emperor,3/8/2013 0:00:00,Roadside Attractions,Drama,PG-13,3346264,411594
176,Stand Up Guys,2/1/2013 0:00:00,Roadside Attractions,Drama,R,3310031,407137
177,The Fifth Estate,10/18/2013 0:00:00,Walt Disney,Drama,R,3254172,400267
178,Promised Land,12/28/2012 0:00:00,Focus Features,Drama,R,3202459,393906
179,"The Twilight Saga: Breaking Dawn, Part 2",11/16/2012 0:00:00,Lionsgate,Drama,PG-13,3191381,392543
180,Hyde Park on Hudson,12/7/2012 0:00:00,Focus Features,Drama,R,3166260,389453
181,Her,1/10/2014 0:00:00,Warner Bros.,Drama,R,2987741,367495
182,In a World...,8/9/2013 0:00:00,Roadside Attractions,Comedy,R,2963271,364485
183,To the Arctic 3D,4/20/2012 0:00:00,Warner Bros.,Documentary,G,2930286,360428
184,Home Run,4/19/2013 0:00:00,Samuel Goldwyn Films,Drama,PG-13,2859955,351777
185,Filly Brown,4/19/2013 0:00:00,Pantelion Films,Drama,R,2850357,350597
186,Grace Unplugged,10/4/2013 0:00:00,Roadside Attractions,Drama,PG,2507159,308383
187,The Sapphires,3/22/2013 0:00:00,Weinstein Co.,Musical,PG-13,2450867,301459
188,Space Station,4/19/2002 0:00:00,IMAX Films,Documentary,Not Rated,2436846,299735
189,Blue is the Warmest Color,10/25/2013 0:00:00,IFC Films,Drama,NC-17,2426783,298497
190,The Gatekeepers,2/1/2013 0:00:00,Sony Pictures Classics,Documentary,PG-13,2408553,296254
191,I'm in Love with a Church Girl,10/18/2013 0:00:00,High Top Releasing,Drama,PG,2387730,293693
192,No,2/15/2013 0:00:00,Sony Pictures Classics,Drama,R,2341226,287973
193,Trance,4/5/2013 0:00:00,Fox Searchlight,Thriller/Suspense,R,2322593,285681
194,Renoir,3/29/2013 0:00:00,Samuel Goldwyn Films,Drama,R,2291047,281801
195,The East,5/31/2013 0:00:00,Fox Searchlight,Drama,PG-13,2274649,279784
196,Oldboy,11/27/2013 0:00:00,FilmDistrict,Action,R,2193658,269822
197,2013 Oscar Shorts,2/1/2013 0:00:00,Shorts International,Multiple Genres,Not Rated,2142342,263510
198,Hotel Transylvania,9/28/2012 0:00:00,Sony Pictures,Comedy,PG,2140687,263307
199,Austenland,8/16/2013 0:00:00,Sony Pictures Classics,Romantic Comedy,PG-13,2137573,262924
200,Krrish 3,11/1/2013 0:00:00,Eros Entertainment,,Not Rated,2123333,261172
201,Blackfish,7/19/2013 0:00:00,Magnolia Pictures,Documentary,PG-13,2073582,255053
202,The Iceman,5/3/2013 0:00:00,Alchemy,Drama,R,1930282,237427
203,Fill the Void,5/24/2013 0:00:00,Sony Pictures Classics,Drama,PG,1774639,218282
204,Stoker,3/1/2013 0:00:00,Fox Searchlight,Drama,R,1703125,209486
205,Unfinished Song,6/21/2013 0:00:00,Weinstein Co.,Comedy,PG-13,1698952,208973
206,Cirque du Soleil: Worlds Away,12/21/2012 0:00:00,Paramount Pictures,Drama,PG,1634500,201045
207,The Christmas Candle,11/15/2013 0:00:00,Echolight Studios,Adventure,PG,1632000,200738
208,Love Is All You Need,5/3/2013 0:00:00,Sony Pictures Classics,Romantic Comedy,R,1631306,200652
209,Bhaag Milkha Bhaag,7/12/2013 0:00:00,Reliance Big Pictures,,Not Rated,1626289,200035
210,The Attack,6/21/2013 0:00:00,Cohen Media Group,Drama,R,1625707,199963
211,Seethamma Vakitlo Sirimalle Chettu,1/10/2013 0:00:00,Ficus,Comedy,Not Rated,1582476,194646
212,Race 2,1/25/2013 0:00:00,UTV Communications,Action,Not Rated,1579940,194334
213,Flying Monsters 3D,10/6/2011 0:00:00,National Geographic Entertainment,Documentary,Not Rated,1574271,193637
214,The Saratov Approach,10/9/2013 0:00:00,Purdie Distribution,Thriller/Suspense,PG-13,1573124,193496
215,"Bless Me, Ultima",2/22/2013 0:00:00,Arenas Entertainment,Drama,PG-13,1559556,191827
216,Beasts of the Southern Wild,6/27/2012 0:00:00,Fox Searchlight,Drama,PG-13,1546618,190235
217,Kon-Tiki,4/26/2013 0:00:00,Weinstein Co.,Drama,PG-13,1517410,186643
218,Atharintiki Daaredi,9/27/2013 0:00:00,,,Not Rated,1500000,184501
219,Disconnect,4/12/2013 0:00:00,LD Entertainment,Drama,R,1436862,176735
220,Girl Most Likely,7/19/2013 0:00:00,Roadside Attractions,Comedy,PG-13,1378591,169568
221,I'm So Excited,6/28/2013 0:00:00,Sony Pictures Classics,Comedy,R,1359796,167256
222,Stories We Tell,5/10/2013 0:00:00,Roadside Attractions,Documentary,PG-13,1358516,167099
223,Wadjda,9/13/2013 0:00:00,Sony Pictures Classics,Drama,PG,1342455,165123
224,Born to be Wild 3D,4/8/2011 0:00:00,Warner Bros.,Documentary,G,1334377,164130
225,The Ultimate Life,9/6/2013 0:00:00,High Top Releasing,Drama,PG,1327841,163326
226,The Kings of Summer,5/31/2013 0:00:00,CBS Films,Comedy,R,1315500,161808
227,Flight,11/2/2012 0:00:00,Paramount Pictures,Drama,R,1284009,157934
228,Anna Karenina,11/16/2012 0:00:00,Focus Features,Drama,R,1278604,157269
229,Rust & Bone,11/23/2012 0:00:00,Sony Pictures Classics,Drama,R,1195433,147039
230,Inequality for All,9/27/2013 0:00:00,RADiUS-TWC,Documentary,PG,1192778,146713
231,Here Comes the Boom,10/12/2012 0:00:00,Sony Pictures,Comedy,PG,1189316,146287
232,The Lords of Salem,4/19/2013 0:00:00,Anchor Bay Entertainment,Horror,R,1165881,143404
233,Romeo & Juliet,10/11/2013 0:00:00,Relativity,Drama,R,1162635,143005
234,Under the Sea 3D,2/13/2009 0:00:00,Warner Bros.,Documentary,G,1142800,140565
235,Kai Po Che,2/22/2013 0:00:00,UTV Communications,Drama,Not Rated,1122527,138072
236,Thanks for Sharing,9/20/2013 0:00:00,Roadside Attractions,Comedy,R,1066256,131150
237,Special 26,2/8/2013 0:00:00,Viva Entertainment,Drama,Not Rated,1065938,131111
238,What Maisie Knew,5/3/2013 0:00:00,Alchemy,Drama,R,1065000,130996
239,Phantom,3/1/2013 0:00:00,RCR Media Group,Thriller/Suspense,R,1034589,127255
240,Ginger & Rosa,3/15/2013 0:00:00,A24,Drama,PG-13,1012973,124596
241,Short Term 12,8/23/2013 0:00:00,Cinedigm,Drama,R,1007582,123933
242,From Up on Poppy Hill,3/15/2013 0:00:00,GKIDS,Drama,PG,1000878,123109
243,Lore,2/8/2013 0:00:00,Music Box Films,Drama,Not Rated,970325,119351
244,The Great Beauty,11/15/2013 0:00:00,Janus Films,Drama,Not Rated,948906,116716
245,Red Dawn,11/21/2012 0:00:00,Open Road,Action,PG-13,929740,114359
246,A Royal Affair,11/9/2012 0:00:00,Magnolia Pictures,Drama,R,887413,109152
247,Generation Iron,9/20/2013 0:00:00,Docurama,Documentary,PG-13,849521,104492
248,Girl Rising,3/7/2013 0:00:00,Gathr Films,Documentary,PG-13,849484,104487
249,Meerkats,5/26/2012 0:00:00,National Geographic Entertainment,Documentary,Not Rated,845613,104011
250,Only God Forgives,7/19/2013 0:00:00,Radius,Thriller/Suspense,R,775849,95430
251,Kill Your Darlings,10/18/2013 0:00:00,Sony Pictures Classics,Drama,R,760506,93543
252,Raanjhanaa,6/21/2013 0:00:00,Eros Entertainment,Drama,Not Rated,756233,93017
253,Satyagraha,8/30/2013 0:00:00,UTV Communications,Drama,Not Rated,738525,90839
254,Hannah Arendt,5/29/2013 0:00:00,Zeitgeist,Drama,Not Rated,717205,88217
255,56 Up,1/4/2013 0:00:00,First Run Features,Documentary,Not Rated,701278,86258
256,Burn,7/20/2012 0:00:00,"Callbox, LLC",Documentary,Not Rated,693125,85255
257,The Hunt,7/12/2013 0:00:00,Magnolia Pictures,Drama,R,687185,84524
258,Muscle Shoals,9/27/2013 0:00:00,Magnolia Pictures,Documentary,PG,671810,82633
259,Parkland,10/4/2013 0:00:00,Exclusive Releasing,Drama,PG-13,641439,78897
260,Deep Sea 3-D,3/3/2006 0:00:00,Warner Bros.,Documentary,G,641339,78885
261,Fanny,7/25/2014 0:00:00,Kino Lorber,Drama,Not Rated,596197,73332
262,To the Wonder,4/12/2013 0:00:00,Magnolia Pictures,Drama,R,584563,71901
263,Salinger,9/6/2013 0:00:00,Weinstein Co.,Documentary,PG-13,583633,71787
264,On the Road,12/21/2012 0:00:00,IFC Films,Drama,R,581465,71520
265,Taken 2,10/5/2012 0:00:00,20th Century Fox,Thriller/Suspense,PG-13,569523,70052
266,The Lost Medallion: The Adventures of Billy Stone,3/1/2013 0:00:00,Freestyle Releasing,Adventure,PG,549632,67605
267,The Reluctant Fundamentalist,4/26/2013 0:00:00,IFC Films,Drama,R,528731,65034
268,Museum Hours,6/28/2013 0:00:00,Cinema Guild,Drama,Not Rated,526804,64797
269,Hitchcock,11/23/2012 0:00:00,Fox Searchlight,Drama,PG-13,519781,63933
270,Scatter My Ashes at Bergdorf's,5/3/2013 0:00:00,Entertainment One,Documentary,PG-13,516719,63557
271,Haute Cuisine,9/20/2013 0:00:00,Weinstein Co.,Comedy,PG-13,510587,62802
272,The Inevitable Defeat of Mister and Pete,10/11/2013 0:00:00,Codeblack Entertainment,Drama,R,494608,60837
273,The Face Reader,10/4/2013 0:00:00,Pan Media & Entertainment,Drama,Not Rated,484112,59546
274,August:  Osage County,12/25/2013 0:00:00,Weinstein Co.,Black Comedy,R,481684,59247
275,The Act of Killing,7/19/2013 0:00:00,Drafthouse Films,Documentary,Not Rated,461777,56799
276,New World,3/22/2013 0:00:00,Well Go USA,Thriller/Suspense,Not Rated,450222,55377
277,Upstream Color,4/5/2013 0:00:00,erbp Film,Drama,Not Rated,444098,54624
278,Sound City,1/31/2013 0:00:00,Variance Films,Documentary,Not Rated,422853,52011
279,A Hijacking,6/21/2013 0:00:00,Magnolia Pictures,Thriller/Suspense,R,414437,50976
280,Ain't Them Bodies Saints,8/16/2013 0:00:00,IFC Films,Drama,R,391611,48168
281,Besharam,10/2/2013 0:00:00,Reliance Big Pictures,Romantic Comedy,Not Rated,388915,47837
282,In the House,4/19/2013 0:00:00,Cohen Media Group,Drama,R,388044,47729
283,Bicycling with Moliere,4/23/2014 0:00:00,Strand,Comedy,Not Rated,381269,46896
284,At Any Price,4/24/2013 0:00:00,Sony Pictures Classics,Drama,R,379791,46714
285,Dirty Wars,6/7/2013 0:00:00,IFC Films,Documentary,Not Rated,371245,45663
286,The Sessions,10/19/2012 0:00:00,Fox Searchlight,Drama,R,370427,45562
287,Shootout at Wadala,5/3/2013 0:00:00,Eros Entertainment,Action,Not Rated,369310,45425
288,Hava Nagila: The Movie,3/1/2013 0:00:00,International Film Circuit,Documentary,Not Rated,368724,45353
289,Shuddh Desi Romance,9/6/2013 0:00:00,Yash Raj Films,Romantic Comedy,Not Rated,366000,45018
290,Frankenweenie,10/5/2012 0:00:00,Walt Disney,Comedy,PG,354055,43549
291,Watermark,4/4/2014 0:00:00,Entertainment One,Documentary,PG,353184,43442
292,Lovelace,8/9/2013 0:00:00,Radius,Drama,R,352755,43389
293,Pitch Perfect,10/5/2012 0:00:00,Universal,Comedy,PG-13,345235,42464
294,Personal Tailor,12/20/2013 0:00:00,China Lion Film Distribution,Comedy,Not Rated,345000,42435
