Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
1,Iron Man 3,5/3/2013 0:00:00,Walt Disney,Action,PG-13,408992272,50306552
2,The Hunger Games: Catching Fire,11/22/2013 0:00:00,Lionsgate,Adventure,PG-13,407139699,50078683
3,Despicable Me 2,7/3/2013 0:00:00,Universal,Comedy,PG,367956735,45259130
4,Frozen,11/27/2013 0:00:00,Walt Disney,Adventure,PG,296691729,36493447
5,Man of Steel,6/14/2013 0:00:00,Warner Bros.,Action,PG-13,291045518,35798956
6,Monsters University,6/21/2013 0:00:00,Walt Disney,Adventure,G,268488329,33024394
7,Gravity,10/4/2013 0:00:00,Warner Bros.,Thriller/Suspense,PG-13,255621667,31441779
8,Fast and Furious 6,5/24/2013 0:00:00,Universal,Action,PG-13,238679850,29357915
9,Oz the Great and Powerful,3/8/2013 0:00:00,Walt Disney,Adventure,PG,234770996,28877121
10,The Hobbit: The Desolation of Smaug,12/13/2013 0:00:00,Warner Bros.,Adventure,PG-13,229059642,28174617
11,Star Trek Into Darkness,5/16/2013 0:00:00,Paramount Pictures,Adventure,PG-13,228778661,28140056
12,Thor: The Dark World,11/8/2013 0:00:00,Walt Disney,Adventure,PG-13,203449204,25024502
13,World War Z,6/21/2013 0:00:00,Paramount Pictures,Action,PG-13,202359711,24890493
14,The Croods,3/22/2013 0:00:00,20th Century Fox,Adventure,PG,187168425,23021946
15,The Heat,6/28/2013 0:00:00,20th Century Fox,Comedy,R,159581587,19628731
16,We're the Millers,8/7/2013 0:00:00,Warner Bros.,Comedy,R,150394119,18498661
17,The Great Gatsby,5/10/2013 0:00:00,Warner Bros.,Drama,PG-13,144840419,17815549
18,The Conjuring,7/19/2013 0:00:00,Warner Bros.,Horror,R,137400141,16900386
19,Identity Thief,2/8/2013 0:00:00,Universal,Comedy,R,134506920,16544516
20,Grown Ups 2,7/12/2013 0:00:00,Sony Pictures,Comedy,PG-13,133668525,16441392
21,The Wolverine,7/26/2013 0:00:00,20th Century Fox,Action,PG-13,132556852,16304655
22,G.I. Joe: Retaliation,3/27/2013 0:00:00,Paramount Pictures,Action,PG-13,122523060,15070487
23,Now You See Me,5/31/2013 0:00:00,Lionsgate,Thriller/Suspense,PG-13,117723989,14480195
24,Cloudy with a Chance of Meatballs 2,9/27/2013 0:00:00,Sony Pictures,Adventure,PG,117614237,14466695
25,Lee Daniels' The Butler,8/16/2013 0:00:00,Weinstein Co.,Drama,PG-13,116293662,14304263
26,The Hangover 3,5/23/2013 0:00:00,Warner Bros.,Comedy,R,112200072,13800746
27,Anchorman 2: The Legend Continues,12/18/2013 0:00:00,Paramount Pictures,Comedy,PG-13,108713472,13371890
28,Epic,5/24/2013 0:00:00,20th Century Fox,Adventure,PG,107518682,13224930
29,Captain Phillips,10/11/2013 0:00:00,Sony Pictures,Drama,PG-13,104834734,12894801
30,Pacific Rim,7/12/2013 0:00:00,Warner Bros.,Action,PG-13,101802906,12521882
31,Jackass Presents: Bad Grandpa,10/25/2013 0:00:00,Paramount Pictures,Comedy,R,101625444,12500054
32,This is the End,6/12/2013 0:00:00,Sony Pictures,Comedy,R,101470202,12480959
33,Olympus Has Fallen,3/22/2013 0:00:00,FilmDistrict,Thriller/Suspense,R,98927592,12168215
34,Silver Linings Playbook,11/16/2012 0:00:00,Weinstein Co.,Drama,R,97416189,11982311
35,42,4/12/2013 0:00:00,Warner Bros.,Drama,PG-13,95020213,11687603
36,Elysium,8/9/2013 0:00:00,Sony Pictures,Action,R,93050117,11445278
37,Zero Dark Thirty,12/19/2012 0:00:00,Sony Pictures,Drama,R,91314578,11231805
38,Disney Planes,8/9/2013 0:00:00,Walt Disney,Comedy,PG,90282580,11104868
39,The Lone Ranger,7/2/2013 0:00:00,Walt Disney,Western,PG-13,89302115,10984269
40,Oblivion,4/19/2013 0:00:00,Universal,Thriller/Suspense,PG-13,89107235,10960299
41,American Hustle,12/13/2013 0:00:00,Sony Pictures,Black Comedy,R,87923123,10814652
42,Insidious Chapter 2,9/13/2013 0:00:00,FilmDistrict,Horror,PG-13,83586447,10281235
43,Turbo,7/17/2013 0:00:00,20th Century Fox,Adventure,PG,83028130,10212562
44,2 Guns,8/2/2013 0:00:00,Universal,Action,R,75612460,9300425
45,White House Down,6/28/2013 0:00:00,Sony Pictures,Thriller/Suspense,PG-13,73103784,8991855
46,Mama,1/18/2013 0:00:00,Universal,Horror,PG-13,71628180,8810354
47,Safe Haven,2/14/2013 0:00:00,Relativity,Drama,PG-13,71399120,8782179
48,The Smurfs 2,7/31/2013 0:00:00,Sony Pictures,Adventure,PG,71017784,8735274
49,The Best Man Holiday,11/15/2013 0:00:00,Universal,Comedy,R,70492685,8670686
50,Percy Jackson: Sea of Monsters,8/7/2013 0:00:00,20th Century Fox,Adventure,PG,68518210,8427824
51,A Good Day to Die Hard,2/14/2013 0:00:00,20th Century Fox,Action,R,67349198,8284034
52,Warm Bodies,2/1/2013 0:00:00,Lionsgate,Romantic Comedy,PG-13,66380662,8164903
53,Jack the Giant Slayer,3/1/2013 0:00:00,Warner Bros.,Adventure,PG-13,65187603,8018155
54,The Purge,6/7/2013 0:00:00,Universal,Thriller/Suspense,R,64473115,7930272
55,The Wolf of Wall Street,12/25/2013 0:00:00,Paramount Pictures,Black Comedy,R,63125467,7764510
56,Last Vegas,11/1/2013 0:00:00,CBS Films,Comedy,PG-13,63112318,7762892
57,Ender's Game,11/1/2013 0:00:00,Lionsgate,Adventure,PG-13,61656849,7583868
58,Prisoners,9/20/2013 0:00:00,Warner Bros.,Thriller/Suspense,R,61002302,7503358
59,After Earth,5/31/2013 0:00:00,Sony Pictures,Action,PG-13,60522097,7444292
60,Saving Mr. Banks,12/20/2013 0:00:00,Walt Disney,Drama,PG-13,58958280,7251940
61,Escape From Planet Earth,2/15/2013 0:00:00,Weinstein Co.,Adventure,PG,57012977,7012666
62,Django Unchained,12/25/2012 0:00:00,Weinstein Co.,Western,R,56525312,6952682
63,Hansel & Gretel: Witch Hunters,1/25/2013 0:00:00,Paramount Pictures,Action,R,55703475,6851595
64,Free Birds,11/1/2013 0:00:00,Relativity,Comedy,PG,54894525,6752094
65,Evil Dead,4/5/2013 0:00:00,Sony Pictures,Horror,R,54239856,6671569
66,RED 2,7/19/2013 0:00:00,Lionsgate,Action,PG-13,53262560,6551360
67,Tyler Perry's Temptation,3/29/2013 0:00:00,Lionsgate,Drama,PG-13,51975354,6393032
68,The Call,3/15/2013 0:00:00,Sony Pictures,Thriller/Suspense,R,51872378,6380366
69,Tyler Perry's A Madea Christmas,12/13/2013 0:00:00,Lionsgate,Comedy,PG-13,50227277,6178016
70,Pain & Gain,4/26/2013 0:00:00,Paramount Pictures,Action,R,49875291,6134722
71,Gangster Squad,1/11/2013 0:00:00,Warner Bros.,Drama,R,46000903,5658167
72,The Secret Life of Walter Mitty,12/25/2013 0:00:00,20th Century Fox,Comedy,PG,45470954,5592983
73,Jurassic Park,8/26/1994 0:00:00,Universal,Action,PG-13,45385935,5582525
74,Les Miserables,12/25/2012 0:00:00,Universal,Musical,PG-13,45306730,5572783
75,The Internship,6/7/2013 0:00:00,20th Century Fox,Comedy,PG-13,44672764,5494804
76,Instructions Not Included,8/30/2013 0:00:00,Pantelion Films,Comedy,PG-13,44467206,5469521
77,Snitch,2/22/2013 0:00:00,Lionsgate,Thriller/Suspense,PG-13,42930462,5280499
78,Riddick,9/6/2013 0:00:00,Universal,Action,R,42025135,5169143
79,A Haunted House,1/11/2013 0:00:00,Open Road,Comedy,R,40041683,4925176
80,The Hobbit: An Unexpected Journey,12/14/2012 0:00:00,Warner Bros.,Adventure,PG-13,39168675,4817795
81,12 Years a Slave,10/18/2013 0:00:00,Fox Searchlight,Drama,R,38472086,4732113
82,Lincoln,11/9/2012 0:00:00,Walt Disney,Drama,PG-13,38118927,4688674
83,The Family,9/13/2013 0:00:00,Relativity,Black Comedy,R,36917730,4540926
84,Carrie,10/18/2013 0:00:00,Sony Pictures,Horror,R,35266619,4337837
85,Texas Chainsaw 3D,1/4/2013 0:00:00,Lionsgate,Horror,R,34341945,4224101
86,Life of Pi,11/21/2012 0:00:00,20th Century Fox,Drama,PG,33947534,4175588
87,R.I.P.D.,7/19/2013 0:00:00,Universal,Action,PG-13,33618855,4135160
88,Blue Jasmine,7/26/2013 0:00:00,Sony Pictures Classics,Comedy,PG-13,32744634,4027630
89,47 Ronin,12/25/2013 0:00:00,Universal,Action,PG-13,32687680,4020624
90,Kevin Hart: Let Me Explain,7/3/2013 0:00:00,Lionsgate,Concert/Performance,R,32244051,3966057
91,Side Effects,2/8/2013 0:00:00,Open Road,Thriller/Suspense,R,32172757,3957288
92,Scary Movie 5,4/12/2013 0:00:00,Weinstein Co.,Comedy,PG-13,32015787,3937981
93,Walking with Dinosaurs,12/20/2013 0:00:00,20th Century Fox,Adventure,PG,31344185,3855373
94,The Mortal Instruments: City of Bones,8/21/2013 0:00:00,Sony Pictures,Adventure,PG-13,31165421,3833385
95,Delivery Man,11/22/2013 0:00:00,Walt Disney,Comedy,PG-13,29866438,3673608
96,One Direction: This is Us,8/30/2013 0:00:00,Sony Pictures,Concert/Performance,PG,28873374,3551460
97,Kick-Ass 2,8/16/2013 0:00:00,Universal,Action,R,28795985,3541941
98,Rush,9/20/2013 0:00:00,Universal,Drama,R,26947624,3314590
99,The Host,3/29/2013 0:00:00,Open Road,Thriller/Suspense,PG-13,26623701,3274747
100,The World's End,8/23/2013 0:00:00,Focus Features,Comedy,R,26004851,3198628
101,Argo,10/12/2012 0:00:00,Warner Bros.,Thriller/Suspense,R,25918584,3188017
102,21 and Over,3/1/2013 0:00:00,Relativity,Comedy,R,25682380,3158964
103,Escape Plan,10/18/2013 0:00:00,Lionsgate,Thriller/Suspense,R,25063555,3082848
104,Parental Guidance,12/25/2012 0:00:00,20th Century Fox,Comedy,PG,24927598,3066125
105,Grudge Match,12/25/2013 0:00:00,Warner Bros.,Comedy,PG-13,24835480,3054794
106,Don Jon,9/27/2013 0:00:00,Relativity,Romantic Comedy,R,24475193,3010478
107,The Incredible Burt Wonderstone,3/15/2013 0:00:00,Warner Bros.,Comedy,PG-13,22537881,2772187
108,The Big Wedding,4/26/2013 0:00:00,Lionsgate,Romantic Comedy,R,21819348,2683806
109,Mud,4/26/2013 0:00:00,Roadside Attractions,Drama,PG-13,21590086,2655607
110,Baggage Claim,9/27/2013 0:00:00,Fox Searchlight,Romantic Comedy,PG-13,21569509,2653076
111,The Way Way Back,7/5/2013 0:00:00,Fox Searchlight,Comedy,PG-13,21502690,2644857
112,The Place Beyond the Pines,3/29/2013 0:00:00,Focus Features,Drama,R,21403519,2632659
113,Homefront,11/27/2013 0:00:00,Open Road,Action,R,20158492,2479519
114,Broken City,1/18/2013 0:00:00,20th Century Fox,Thriller/Suspense,R,19701164,2423267
115,Philomena,11/22/2013 0:00:00,Weinstein Co.,Drama,PG-13,19586311,2409140
116,Beautiful Creatures,2/14/2013 0:00:00,Warner Bros.,Thriller/Suspense,PG-13,19452138,2392636
117,Runner Runner,10/4/2013 0:00:00,20th Century Fox,Thriller/Suspense,R,19316646,2375971
118,The Book Thief,11/8/2013 0:00:00,20th Century Fox,Drama,PG-13,19091819,2348317
119,You're Next,8/23/2013 0:00:00,Lionsgate,Horror,R,18494006,2274785
120,Quartet,1/11/2013 0:00:00,Weinstein Co.,Comedy,PG-13,18388357,2261790
121,Admission,3/22/2013 0:00:00,Focus Features,Romantic Comedy,PG-13,18007317,2214922
122,Parker,1/25/2013 0:00:00,FilmDistrict,Thriller/Suspense,R,17616641,2166868
123,Enough Said,9/18/2013 0:00:00,Fox Searchlight,Comedy,PG-13,17497669,2152234
124,Dark Skies,2/22/2013 0:00:00,Weinstein Co.,Thriller/Suspense,PG-13,17418667,2142517
125,The Counselor,10/25/2013 0:00:00,20th Century Fox,Thriller/Suspense,R,16960224,2086128
126,Dallas Buyers Club,11/1/2013 0:00:00,Focus Features,Drama,R,16300843,2005023
127,Jobs,8/16/2013 0:00:00,Open Road,Drama,PG-13,16131410,1984183
128,Fruitvale Station,7/12/2013 0:00:00,Weinstein Co.,Drama,R,16098998,1980196
129,The Impossible,12/21/2012 0:00:00,Lionsgate,Drama,PG-13,15607469,1919737
130,Jack Reacher,12/21/2012 0:00:00,Paramount Pictures,Drama,PG-13,15373522,1890962
131,About Time,11/1/2013 0:00:00,Universal,Romantic Comedy,R,15323921,1884861
132,The Last Exorcism Part II,3/1/2013 0:00:00,CBS Films,Horror,PG-13,15179303,1867072
133,Spring Breakers,3/15/2013 0:00:00,A24,Thriller/Suspense,R,14124286,1737304
134,This is 40,12/21/2012 0:00:00,Universal,Comedy,R,13289310,1634601
135,The Last Stand,1/18/2013 0:00:00,Lionsgate,Action,R,12050299,1482201
136,Top Gun,5/16/1986 0:00:00,Paramount Pictures,Action,PG,11342600,1395153
137,Out of the Furnace,12/4/2013 0:00:00,Relativity,Drama,R,11187536,1376080
138,Wreck-It Ralph,11/2/2012 0:00:00,Walt Disney,Adventure,PG,10911037,1342070
139,Dead Man Down,3/8/2013 0:00:00,FilmDistrict,Thriller/Suspense,R,10895295,1340134
