Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
469,What If...,8/20/2010 0:00:00,Five & Two Pictures,Drama,PG,47362,5972
470,Pianomania,5/27/2011 0:00:00,First Run Features,Documentary,Not Rated,47328,5968
471,Margaret,9/30/2011 0:00:00,Fox Searchlight,Drama,R,47185,5950
472,Alabama Moon,3/18/2011 0:00:00,Faulkner-McLean Entertainment,Adventure,PG,47009,5927
473,Journal d'un curé de campagne,2/25/2011 0:00:00,Rialto Pictures,Drama,Not Rated,46979,5924
474,"Connected: An Autobiography about Love, Death & Technology",9/16/2011 0:00:00,Paladin,Documentary,PG,46782,5899
475,The Woodmans,1/19/2011 0:00:00,Lorber Films,Documentary,Not Rated,46623,5879
476,The Tempest,12/10/2010 0:00:00,Miramax,Drama,PG-13,46310,5839
477,Every Day,1/14/2011 0:00:00,Image Entertainment,Drama,R,46029,5804
478,Tees Maar Khan,12/22/2010 0:00:00,UTV Communications,Comedy,Not Rated,45764,5770
479,Rapt,7/6/2011 0:00:00,Lorber Films,Drama,Not Rated,45759,5770
480,Texas Killing Fields,10/14/2011 0:00:00,Anchor Bay Entertainment,Thriller/Suspense,R,45470,5733
481,Happy Happy,9/16/2011 0:00:00,Magnolia Pictures,Drama,R,45154,5694
482,Magnificent Desolation,9/23/2005 0:00:00,IMAX Films,Documentary,Not Rated,44582,5621
483,Undertow,9/17/2010 0:00:00,The Film Collaborative,Drama,Not Rated,44462,5606
484,Desert Flower,3/18/2011 0:00:00,National Geographic Entertainment,Drama,R,44348,5592
485,Crazy Wisdom,11/25/2011 0:00:00,Alive Mind,Documentary,Not Rated,43742,5516
486,Love Etc.,7/1/2011 0:00:00,,Documentary,Not Rated,43593,5497
487,Over Your Cities Grass Will Grow,8/10/2011 0:00:00,Alive Mind,Documentary,Not Rated,43214,5449
488,Public Speaking,2/23/2011 0:00:00,Rialto Pictures,Documentary,Not Rated,43184,5445
489,People v. The State of Illusion,9/9/2011 0:00:00,Self Distributed,Documentary,Not Rated,42202,5321
490,Down for Life,1/14/2011 0:00:00,B.D. Fox Independent,Drama,R,41914,5285
491,The Conquest,11/11/2011 0:00:00,Music Box Films,Drama,Not Rated,41130,5186
492,Myth of the American Sleepover,7/22/2011 0:00:00,IFC Films,Drama,Not Rated,41045,5176
493,"Arrow, the Ultimate Weapon",10/14/2011 0:00:00,CJ Entertainment,Action,R,40685,5130
494,The Last Circus,8/19/2011 0:00:00,Magnolia Pictures,Black Comedy,R,40548,5113
495,CornerStore,8/12/2011 0:00:00,Shotown Pictures,Comedy,Not Rated,40508,5108
496,Louder Than A Bomb,5/18/2011 0:00:00,Balcony Releasing,Documentary,Not Rated,40362,5089
497,Road to Nowhere,6/10/2011 0:00:00,Monterey Media,Thriller/Suspense,R,40294,5081
498,Empire of Silver,6/3/2011 0:00:00,China Lion Film Distribution,Drama,Not Rated,40052,5050
499,Went the Day Well,5/20/2011 0:00:00,Rialto Pictures,Thriller/Suspense,Not Rated,39523,4983
500,3 Backyards,3/11/2011 0:00:00,Screen Media Films,Drama,R,39475,4977
501,We Need to Talk About Kevin,1/13/2012 0:00:00,Oscilloscope Pictures,Drama,R,39297,4955
502,The Strange Case of Angelica,12/31/2010 0:00:00,Cinema Guild,Drama,Not Rated,38996,4917
503,When Harry Tries to Marry,4/22/2011 0:00:00,108 Pics,Romantic Comedy,PG-13,38261,4824
504,Where Soldiers Come From,9/9/2011 0:00:00,International Film Circuit,Documentary,Not Rated,38151,4810
505,11-11-11,11/11/2011 0:00:00,Rocket Releasing,Horror,R,38100,4804
506,Summer,6/9/2011 0:00:00,The Film Desk,,R,37804,4767
507,A Somewhat Gentle Man,1/14/2011 0:00:00,Strand,Black Comedy,Not Rated,37743,4759
508,Sleeping Beauty,12/2/2011 0:00:00,IFC Films,Drama,Not Rated,37710,4755
509,Fireflies in the Garden,10/14/2011 0:00:00,,Drama,R,36884,4651
510,Granito: How to Nail a Dictator,9/14/2011 0:00:00,Skylight Pictures,Documentary,Not Rated,36738,4632
511,Dogtooth,6/25/2010 0:00:00,Kino International,Drama,Not Rated,36399,4590
512,Da Wu Sheng (My Kingdom),9/9/2011 0:00:00,China Lion Film Distribution,Drama,Not Rated,35986,4537
513,Hell and Back Again,10/5/2011 0:00:00,Docurama,Documentary,Not Rated,34637,4367
514,Hereafter,10/22/2010 0:00:00,Warner Bros.,Thriller/Suspense,PG-13,34355,4332
515,Love in Space,9/9/2011 0:00:00,China Lion Film Distribution,Romantic Comedy,PG,33976,4284
516,Making the Boys,3/11/2011 0:00:00,First Run Features,Documentary,Not Rated,33833,4266
517,Tamara Drewe,10/8/2010 0:00:00,Sony Pictures Classics,Comedy,R,33752,4256
518,Stake Land,4/22/2011 0:00:00,IFC Films,Horror,R,33245,4192
519,American Teacher,9/30/2011 0:00:00,First Run Features,Documentary,Not Rated,33144,4179
520,Meet Monica Velour,4/8/2011 0:00:00,Anchor Bay Entertainment,Comedy,R,33042,4166
521,Film Socialisme,6/3/2011 0:00:00,Lorber Films,Drama,Not Rated,32977,4158
522,The Time That Remains,1/7/2011 0:00:00,IFC Films,Drama,Not Rated,32869,4145
523,Octubre,5/6/2011 0:00:00,New Yorker,Comedy,Not Rated,32127,4051
524,"HEY BOO: Harper Lee and ""To Kill a Mockingbird""",5/13/2011 0:00:00,First Run Features,Documentary,Not Rated,31135,3926
525,Small Town Murder Songs,5/27/2011 0:00:00,Monterey Media,Thriller/Suspense,R,31133,3925
526,White Irish Drinkers,3/25/2011 0:00:00,IFC Films,Drama,R,31056,3916
527,The Son of No One,11/4/2011 0:00:00,Anchor Bay Entertainment,Drama,R,30680,3868
528,Outrage,12/2/2011 0:00:00,Magnolia Pictures,Drama,R,30440,3838
529,Muran,9/30/2011 0:00:00,UTV Communications,,Not Rated,30116,3797
530,Cat Run,4/1/2011 0:00:00,Paladin,Comedy,R,30100,3795
531,Cracks,3/18/2011 0:00:00,IFC Films,Drama,R,29683,3743
532,Redemption Road,8/26/2011 0:00:00,Freestyle Releasing,Drama,PG-13,29384,3705
533,The Topp Twins: Untouchable Girls,5/13/2011 0:00:00,Argot Pictures,Documentary,Not Rated,29200,3682
534,Cost of a Soul,5/20/2011 0:00:00,Relativity,Drama,R,29000,3656
535,Chasing Madoff,8/26/2011 0:00:00,Cohen Media Group,Documentary,Not Rated,28850,3638
536,The Sleeping Beauty,7/8/2011 0:00:00,Strand,Drama,Not Rated,28791,3630
537,Salvation Boulevard,7/15/2011 0:00:00,IFC Films,Comedy,R,28004,3531
538,"Tuesday, After Christmas",5/25/2011 0:00:00,Lorber Films,Drama,Not Rated,27813,3507
539,Khodorkovsky,11/30/2011 0:00:00,Kino Lorber,Documentary,Not Rated,27718,3495
540,Animal Kingdom,8/13/2010 0:00:00,Sony Pictures Classics,Drama,R,27622,3483
541,The Autobiography of Nicolae Ceausescu,9/9/2011 0:00:00,The Film Desk,Documentary,Not Rated,27556,3474
542,Clash,3/11/2011 0:00:00,Variance Films,Action,R,27052,3411
543,Forks Over Knives,5/6/2011 0:00:00,Monica Beach Media,Documentary,PG,27000,3404
544,Enemies of the People,7/30/2010 0:00:00,International Film Circuit,Documentary,Not Rated,26708,3367
545,Caesar and Otto's Summer Camp Massacre,9/16/2011 0:00:00,Nocturnal Features,Comedy,Not Rated,25844,3259
546,Howl,9/24/2010 0:00:00,Oscilloscope Pictures,Drama,R,25522,3218
547,Waiting for Forever,2/4/2011 0:00:00,Freestyle Releasing,Romantic Comedy,PG-13,25517,3217
548,The Other Woman,2/4/2011 0:00:00,IFC Films,Comedy,R,25423,3206
549,Bonnie & Clyde vs. Dracula,3/11/2011 0:00:00,Indican Pictures,Action,Not Rated,25027,3155
550,Paul Goodman Changed My Life,10/19/2011 0:00:00,Zeitgeist,Documentary,Not Rated,25020,3155
551,Harvest,5/6/2011 0:00:00,Monterey Media,Drama,R,24657,3109
552,Immigration Tango,2/18/2011 0:00:00,Roadside Attractions,Comedy,R,24554,3096
553,Bereavement,3/4/2011 0:00:00,,Horror,R,24400,3076
554,Vincent Wants to Sea,6/24/2011 0:00:00,Corinth Films,Drama,Not Rated,24377,3074
555,Shut Up Little Man! An Audio Misadventure,8/26/2011 0:00:00,TriBeca Films,Documentary,Not Rated,23901,3013
556,Jane's Journey,9/16/2011 0:00:00,First Run Features,Documentary,Not Rated,23746,2994
557,Nine Nation Animation,9/29/2010 0:00:00,The World According to Shorts,Multiple Genres,Not Rated,22731,2866
