Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
1,The Avengers,5/4/2012 0:00:00,Walt Disney,Action,PG-13,623279547,78301450
2,The Dark Knight Rises,7/20/2012 0:00:00,Warner Bros.,Action,PG-13,448139099,56298881
3,The Hunger Games,3/23/2012 0:00:00,Lionsgate,Thriller/Suspense,PG-13,408010692,51257624
4,Skyfall,11/9/2012 0:00:00,Sony Pictures,Action,PG-13,296804366,37286980
5,"The Twilight Saga: Breaking Dawn, Part 2",11/16/2012 0:00:00,Lionsgate,Drama,PG-13,289133356,36323285
6,The Hobbit: An Unexpected Journey,12/14/2012 0:00:00,Warner Bros.,Adventure,PG-13,263834893,33145087
7,The Amazing Spider-Man,7/3/2012 0:00:00,Sony Pictures,Adventure,PG-13,262030663,32918425
8,Brave,6/22/2012 0:00:00,Walt Disney,Adventure,PG,237277071,29808677
9,Ted,6/29/2012 0:00:00,Universal,Comedy,R,218665740,27470570
10,Madagascar 3: Europe's Most Wanted,6/8/2012 0:00:00,Paramount Pictures,Adventure,PG,216391482,27184859
11,Dr. Seuss' The Lorax,3/2/2012 0:00:00,Universal,Adventure,PG,214030500,26888253
12,Men in Black 3,5/25/2012 0:00:00,Sony Pictures,Adventure,PG-13,179020854,22490057
13,Wreck-It Ralph,11/2/2012 0:00:00,Walt Disney,Adventure,PG,178501640,22424829
14,Ice Age: Continental Drift,7/13/2012 0:00:00,20th Century Fox,Adventure,PG,161204082,20251769
15,Snow White and the Huntsman,6/1/2012 0:00:00,Universal,Adventure,PG-13,155136755,19489542
16,Hotel Transylvania,9/28/2012 0:00:00,Sony Pictures,Comedy,PG,146172361,18363361
17,Lincoln,11/9/2012 0:00:00,Walt Disney,Drama,PG-13,144089046,18101638
18,Taken 2,10/5/2012 0:00:00,20th Century Fox,Thriller/Suspense,PG-13,139284764,17498085
19,21 Jump Street,3/16/2012 0:00:00,Sony Pictures,Comedy,R,138447667,17392922
20,Prometheus,6/8/2012 0:00:00,20th Century Fox,Adventure,R,126477084,15889080
21,Safe House,2/10/2012 0:00:00,Universal,Thriller/Suspense,R,126181630,15851963
22,The Vow,2/10/2012 0:00:00,Sony Pictures,Drama,PG-13,125014030,15705280
23,Magic Mike,6/29/2012 0:00:00,Warner Bros.,Comedy,R,113721571,14286629
24,The Bourne Legacy,8/10/2012 0:00:00,Universal,Thriller/Suspense,PG-13,113203870,14221591
25,Argo,10/12/2012 0:00:00,Warner Bros.,Thriller/Suspense,R,110106919,13832527
26,Django Unchained,12/25/2012 0:00:00,Weinstein Co.,Western,R,106280122,13351774
27,Journey 2: The Mysterious Island,2/10/2012 0:00:00,Warner Bros.,Adventure,PG,103860290,13047775
28,Les Miserables,12/25/2012 0:00:00,Universal,Musical,PG-13,103503040,13002894
29,Rise of the Guardians,11/21/2012 0:00:00,Paramount Pictures,Adventure,PG,97227667,12214531
30,Flight,11/2/2012 0:00:00,Paramount Pictures,Drama,R,92488366,11619141
31,Think Like a Man,4/20/2012 0:00:00,Sony Pictures,Romantic Comedy,PG-13,91547205,11500905
32,Life of Pi,11/21/2012 0:00:00,20th Century Fox,Drama,PG,91039488,11437121
33,The Campaign,8/10/2012 0:00:00,Warner Bros.,Comedy,R,86907746,10918058
34,The Expendables 2,8/17/2012 0:00:00,Lionsgate,Action,R,85028192,10681933
35,Wrath of the Titans,3/30/2012 0:00:00,Warner Bros.,Adventure,PG-13,83670083,10511316
36,Beauty and the Beast,6/21/2002 0:00:00,Walt Disney,Musical,G,81619237,10253672
37,Dark Shadows,5/11/2012 0:00:00,Warner Bros.,Black Comedy,PG-13,79727149,10015973
38,John Carter,3/9/2012 0:00:00,Walt Disney,Adventure,PG-13,73058679,9178226
39,Act of Valor,2/24/2012 0:00:00,Relativity,Action,R,70012847,8795583
40,Mission: Impossible—Ghost Protocol,12/21/2011 0:00:00,Paramount Pictures,Action,PG-13,68211257,8569253
41,Contraband,1/13/2012 0:00:00,Universal,Action,R,66528000,8357788
42,Looper,9/28/2012 0:00:00,Sony Pictures,Action,R,66486205,8352538
43,Tyler Perry's Madea's Witness Protection,6/29/2012 0:00:00,Lionsgate,Comedy,PG-13,65653242,8247894
44,Battleship,5/18/2012 0:00:00,Universal,Action,PG-13,65233400,8195150
45,Mirror Mirror,3/30/2012 0:00:00,Relativity,Adventure,PG,64935167,8157684
46,Jack Reacher,12/21/2012 0:00:00,Paramount Pictures,Drama,PG-13,64697214,8127790
47,Pitch Perfect,10/5/2012 0:00:00,Universal,Comedy,PG-13,64655858,8122595
48,Chronicle,2/3/2012 0:00:00,20th Century Fox,Thriller/Suspense,PG-13,64575175,8112459
49,Hope Springs,8/8/2012 0:00:00,Sony Pictures,Romantic Comedy,PG-13,63536011,7981910
50,Underworld: Awakening,1/20/2012 0:00:00,Sony Pictures,Action,R,62321039,7829276
51,The Lucky One,4/20/2012 0:00:00,Warner Bros.,Drama,PG-13,60457138,7595117
52,The Dictator,5/16/2012 0:00:00,Paramount Pictures,Comedy,R,59650222,7493746
53,Total Recall,8/3/2012 0:00:00,Sony Pictures,Action,PG-13,58877969,7396729
54,Titanic,12/19/1997 0:00:00,Paramount Pictures,Thriller/Suspense,PG-13,57885250,7272016
55,American Reunion,4/6/2012 0:00:00,Universal,Comedy,R,56758835,7130506
56,ParaNorman,8/17/2012 0:00:00,Focus Features,Comedy,PG,56003051,7035559
57,This Means War,2/17/2012 0:00:00,20th Century Fox,Romantic Comedy,PG-13,54760791,6879496
58,Project X,3/2/2012 0:00:00,Warner Bros.,Comedy,R,54731865,6875862
59,The Woman in Black,2/3/2012 0:00:00,CBS Films,Thriller/Suspense,PG-13,54333290,6825790
60,This is 40,12/21/2012 0:00:00,Universal,Comedy,R,54255195,6815979
61,Paranormal Activity 4,10/19/2012 0:00:00,Paramount Pictures,Horror,R,53900335,6771398
62,The Devil Inside,1/6/2012 0:00:00,Paramount Pictures,Horror,R,53261944,6691198
63,Parental Guidance,12/25/2012 0:00:00,20th Century Fox,Comedy,PG,52339698,6575338
64,The Odd Life of Timothy Green,8/15/2012 0:00:00,Walt Disney,Drama,PG,51844311,6513104
65,Ghost Rider: Spirit of Vengeance,2/17/2012 0:00:00,Sony Pictures,Action,PG-13,51774002,6504271
66,The Grey,1/27/2012 0:00:00,Open Road,Thriller/Suspense,R,51580136,6479916
67,Sherlock Holmes: A Game of Shadows,12/16/2011 0:00:00,Warner Bros.,Action,PG-13,49938199,6273643
68,Red Tails,1/20/2012 0:00:00,20th Century Fox,Action,PG-13,49876377,6265876
69,The Possession,8/31/2012 0:00:00,Lionsgate,Horror,PG-13,49130588,6172184
70,Diary of a Wimpy Kid: Dog Days,8/3/2012 0:00:00,20th Century Fox,Comedy,PG,49008662,6156867
71,Sinister,10/12/2012 0:00:00,Lionsgate,Thriller/Suspense,R,48086903,6041068
72,Savages,7/6/2012 0:00:00,Universal,Thriller/Suspense,R,47323100,5945113
73,The Girl with the Dragon Tattoo,12/20/2011 0:00:00,Sony Pictures,Thriller/Suspense,R,46930912,5895843
74,The Best Exotic Marigold Hotel,5/4/2012 0:00:00,Fox Searchlight,Comedy,PG-13,46383639,5827090
75,Moonrise Kingdom,5/25/2012 0:00:00,Focus Features,Drama,PG-13,45512466,5717646
76,The Three Stooges,4/13/2012 0:00:00,20th Century Fox,Comedy,PG,44338224,5570128
77,Here Comes the Boom,10/12/2012 0:00:00,Sony Pictures,Comedy,PG,44101002,5540326
78,Red Dawn,11/21/2012 0:00:00,Open Road,Action,PG-13,43877043,5512191
79,Star Wars Ep. I: The Phantom Menace,5/19/1999 0:00:00,20th Century Fox,Adventure,PG,43456382,5459344
80,Resident Evil: Retribution,9/14/2012 0:00:00,Sony Pictures,Action,R,42345531,5319790
81,The Descendants,11/16/2011 0:00:00,Fox Searchlight,Drama,R,42309296,5315238
82,The Cabin in the Woods,4/13/2012 0:00:00,Lionsgate,Thriller/Suspense,R,42073277,5285587
83,What to Expect When You're Expecting,5/18/2012 0:00:00,Lionsgate,Romantic Comedy,PG-13,41152203,5169874
84,End of Watch,9/21/2012 0:00:00,Open Road,Thriller/Suspense,R,40891820,5137163
85,Finding Nemo,5/30/2003 0:00:00,Walt Disney,Adventure,G,40795794,5125099
86,The Artist,11/25/2011 0:00:00,Weinstein Co.,Drama,PG-13,39622751,4977732
87,War Horse,12/25/2011 0:00:00,Walt Disney,Drama,PG-13,39431587,4953716
